statement,category,behavior,everyday,figure_of_speech,judgment,opinion,reasoning,x_tsne,x_pca,y_tsne,y_pca
if alex brings sam a spare key he or she will make use of one out of it,Human activities,0,0,1,1,1,1,34.84249,0.19706757935939917,-55.76223,-0.05177290101869935
if alex brings sam a spare key they will first think of which one to use,Geography and places,0,0,0,0,0,1,34.867355,0.18096701844369154,-55.817398,-0.04674891829376964
if alex brings sam a spare key they will leave it in their mailbox without telling them about it,People and self,1,1,0,1,1,0,56.239838,0.16196615590662242,-62.544872,-0.09402662049237079
if alex brings sam the news it is more than likely true,Health and fitness,0,1,1,0,1,1,38.972885,0.2116830858565354,-62.378307,-0.026512180703323472
if alex brings sam the news sam should not believe them,Philosophy and thinking,1,1,0,1,1,0,39.341026,0.12832360282606528,-62.217567,-0.0183507036258491
if alex brings sam to the ground alex will not stop and create a seriously bad situation,Culture and the arts,0,0,0,0,1,1,27.108297,0.15359673131660911,-61.762306,0.0328107971878294
if alex brings sam to the ground alex will refrain and make things right,General reference,0,0,1,1,0,1,27.177286,0.1731020344573762,-61.58274,0.03634627384751108
if alex brings sam to the ground because they are practicing tactical maneuvers,People and self,1,1,0,1,1,1,27.044666,0.18237156398623855,-61.17466,-0.037686844465267356
if alex brushes sam's teeth they will ask permission first,Natural and physical sciences,0,0,0,0,1,1,56.989555,0.15973787498365385,-69.48163,-0.04178492858861166
if alex brushes sam's teeth they will use a hair brush,Culture and the arts,0,1,1,1,0,1,56.42743,0.13062707384842714,-70.36017,-0.12137407909315495
if alex brushes sam's teeth they will use a tooth brush,Human activities,0,1,0,1,0,0,56.84752,0.12562428939968653,-69.71002,-0.047291735449128805
if alex brushes sam's teeth they will use peanut butter,Culture and the arts,0,1,0,1,0,1,56.37501,0.1377860658738155,-70.443634,-0.1025398840319268
if alex builds a birdhouse they will hang it outside,General reference,0,1,0,0,1,1,14.949309,0.07746881141269912,-38.83186,-0.08798713566664848
if alex builds a birdhouse they would hang it inside the house,Human activities,1,0,0,1,1,1,14.985092,0.07639955573740179,-38.751827,-0.09664623294658012
if alex buys a new chair he will give it to his dog,People and self,0,1,0,1,1,1,21.39336,0.13837816811903103,-49.459934,-0.05486213701836385
if alex buys a new chair he would never even think to sit in the chair,Culture and the arts,0,0,1,0,1,1,21.40635,0.09720381410397215,-50.625587,-0.13989845010951216
if alex buys a new chair they will give it away immediatly,General reference,1,0,0,0,0,1,21.427696,0.10799388449364336,-49.454533,-0.04870956025168542
if alex buys milk what do we do with this,General reference,0,0,0,0,0,1,29.850573,0.08842791701701956,-53.3357,0.008399574759082273
if alex calls a locksmith he will expect his situation to be fixed for free,Culture and the arts,0,0,0,0,0,1,8.456329,0.10338910964513173,-26.457836,-0.009437841548778851
if alex calls a locksmith they will close the door,Human activities,1,1,0,1,0,1,8.352364,0.1093355821891673,-26.149652,-0.09212892653643541
if alex calls a locksmith they will open the door,General reference,0,0,0,1,0,1,8.373351,0.11862981188951609,-26.207636,-0.05913447744838752
if alex calls sam's mother they would hang up immediately after she answered,Human activities,1,1,0,1,0,0,46.22583,0.1638067995048976,-58.572548,-0.06871384960261455
if alex calls sam's mother they would have a conversation about sam,Culture and the arts,0,0,0,0,1,1,45.755882,0.21395880471749845,-58.960938,-0.029829542567184248
if alex calls sam's mother they would immediately hang up on them,General reference,1,0,0,0,1,1,46.13568,0.1689339780317164,-58.64469,-0.06076456760618513
if alex calls to account a memory than it would be made up,General reference,0,1,1,1,0,1,46.648067,0.10773698697334261,-37.59733,-0.10630567902502427
if alex calls to account alex is dead,General reference,0,0,1,0,1,1,46.34166,0.11247855291693616,-37.784058,-0.06360307404350983
if alex calls upon to perform they will run away and hide,Human activities,1,0,0,1,1,1,23.758778,0.1291414111737254,-37.84769,-0.08819411728831185
if alex catches a bird and decides to keep it as a pet despite not knowing anything about it,Religion and belief systems,0,0,0,0,0,1,15.590701,0.10498199644628753,-42.025158,-0.10935858425121973
if alex catches a bird and lets it go after observing it knowing that keeping it is a bad idea,General reference,0,1,0,1,0,1,15.915012,0.08140316989905115,-41.96914,-0.11946434656002813
if alex catches a bird he cut its wings,Human activities,0,0,0,1,0,0,16.314629,0.11190830927810867,-42.06288,-0.0961786243583446
if alex catches a bird he pet that bird,People and self,1,1,0,1,1,1,15.842593,0.13395095880180902,-42.11277,-0.10177615379977031
if alex catches sam eye have treatment for stabismus,Culture and the arts,0,0,0,0,0,1,30.060162,0.1517424406729143,-62.12232,-0.03735408719563246
if alex celebrates sam's victory they say we did this,General reference,1,1,0,1,0,1,36.746796,0.1814653509755363,-75.51315,0.04215126745219531
if alex celebrates sam's victory they will prepare a funeral,Culture and the arts,0,0,0,0,0,1,36.44325,0.22140606769296717,-75.19573,0.003873692389411326
if alex celebrates sam's victory they would jump up and down,Natural and physical sciences,0,1,1,1,0,1,36.835697,0.2343558826283122,-75.688545,0.00036612345633199925
if alex changes sam's way he will help sam find his way out of the maze,People and self,1,0,0,1,0,1,38.825222,0.2089589506218205,-69.2176,-0.02694135345037921
if alex changes sam's way sam would become smarter,Human activities,1,1,0,1,1,1,39.062614,0.21143886763952813,-69.17505,-0.032913985060808455
if alex changes the baby's diaper it will fit snugly but not too tight and stay on securely with pins,Culture and the arts,0,0,0,0,0,1,5.1116223,0.06519757552116172,-43.40454,-0.08124780395510921
if alex changes the baby's diaper pigeon not ultra premium baby diaper pants,Culture and the arts,0,0,0,0,1,0,4.7336745,0.040027748189241916,-43.709816,-0.08787881363770826
if alex changes the baby's diaper pigeon ultra premium baby diaper pants,Culture and the arts,0,0,0,0,1,1,4.730309,0.04991499325513857,-43.70377,-0.07431422343485317
if alex comes and get sam then Morgan would assume that they are invited to go with both alex and sam as well,General reference,0,0,0,0,1,1,30.550552,0.2530436874239414,-56.148315,-0.005374905967900918
if alex comes near sam i am scared,People and self,1,0,0,1,1,1,27.266932,0.20696087745172342,-64.672844,-0.05578844823258605
if alex comes near sam sam will just not care,General reference,1,1,1,1,1,1,27.48917,0.2334722836299666,-69.57403,-0.10082165570695295
if alex comes near sam they are trying to threaten them into handing over money,Human activities,1,1,1,1,1,1,32.623043,0.19144768616389432,-58.261463,0.010492186817330747
if alex comes near sam they will make awful noises,General reference,1,0,1,0,1,1,27.328505,0.19507456628370073,-64.61841,-0.1037273289664572
if alex comes near sam they would bump them on purpose,General reference,1,0,0,0,0,1,26.68743,0.21489374236953554,-63.3641,-0.08724880299932287
if alex conducts research and documents every bit of information they learn,Natural and physical sciences,0,0,0,0,0,1,40.428387,0.07728187204481143,-4.8677444,-0.03109290534712878
if alex considers sam example most memorable moment in our life,General reference,1,1,0,1,1,1,43.240726,0.16003592671364675,-67.46687,-0.001058650961284986
if alex considers sam example then the first person might ask a question regarding the example,People and self,1,1,0,1,1,1,43.227882,0.14210665628966776,-67.389046,-0.04712099617616795
if alex creams in alex's jeans they may walk around all day with cream stains on their crotch,Human activities,0,1,0,1,0,1,0.93608,0.08788499287182905,-42.1816,-0.1325301845614907
if alex creams in alex's jeans they will enjoy it and then change their pants,People and self,1,1,0,1,1,1,0.8151543,0.14104919995103757,-42.696686,-0.11455444850077172
if alex creams in alex's jeans they will go to the bathroom and sop it up the best they can,Culture and the arts,0,1,0,0,0,1,1.0140537,0.14079096709855474,-42.741093,-0.09322138405119504
if alex creams in alex's jeans they will take a picture and send it to their friends,People and self,0,0,0,0,1,1,0.85911375,0.14428084759661686,-42.97647,-0.09810502071362352
if alex creams in alex's jeans they would wash their jeans,People and self,0,1,0,1,0,1,0.83272576,0.12875581679903245,-42.586723,-0.10209724756759707
if alex cries sam a river something bad must have happened,General reference,0,0,1,0,1,1,28.609182,0.21291225105720146,-66.106895,-0.05981135837999498
if alex cries sam a river they'll make a creek of themself,General reference,0,0,1,0,1,1,28.554422,0.21316210361089366,-66.20178,-0.028113305278941927
if alex cuts sam's arm he will not call for help,People and self,0,1,0,0,0,1,23.441435,0.18103748776525316,-69.80958,-0.0637483241936449
if alex cuts sam's arm he will try to stop the bleeding,Health and fitness,0,1,0,1,0,1,22.857584,0.18569129699928022,-69.24037,-0.04913896104862268
if alex cuts sam's arm they will clean the wound with alcohol and then put a bandage on it,Human activities,0,1,0,0,0,1,22.330416,0.14951157213257313,-69.207695,-0.06508177625587343
if alex cuts sam's arm they will put put a bandage on it without disinfecting the wound first,History and events,0,1,0,1,0,1,22.187351,0.10492875829727133,-69.2591,-0.07493518846674826
if alex decides to not be friends with sam,People and self,1,1,0,1,0,1,30.343277,0.23034605291240745,-72.18451,-0.04751060607083255
if alex decides to not be friends with sam sam would feel unliked,Philosophy and thinking,1,1,0,1,0,1,30.70483,0.21108615894899985,-72.18292,-0.08671852346588343
if alex decides to not be friends with sam sam would not mind,Human activities,1,1,0,1,0,1,30.354376,0.24296285899904066,-72.08049,-0.039565837938792224
if alex depends upon the level he never improve his level,Culture and the arts,0,1,1,1,1,1,44.197563,0.08224064323258759,-30.566961,-0.08560191843820664
if alex digs themselves into a hole alex gets into depression,Culture and the arts,0,1,0,0,1,1,43.39584,0.09554969523609509,-39.731014,-0.1020983524023284
if alex digs themselves into a hole then Morgan would make fun of their situation,General reference,0,0,0,0,0,1,43.397987,0.1464326959125317,-39.86053,-0.05799742750815849
if alex digs themselves into a hole they remain silent assuming someone will eventually come for them,Health and fitness,0,1,1,0,0,1,43.43708,0.08325380907937753,-39.638798,-0.050437802509484354
if alex discusses later in the chapter they will learn,Geography and places,0,0,0,0,0,1,61.79936,0.1194641353572143,-34.946404,-0.07474326941504596
if alex discusses later in the chapter they will not give away the ending,People and self,1,1,0,1,1,1,62.325516,0.10963292101774849,-34.922955,-0.0848700243387022
if alex discusses later in the chapter they will not learn,History and events,0,0,1,0,1,1,62.21811,0.09493262989835678,-34.92892,-0.11492273318222483
if alex discusses later in the chapter they will skip right to the end,Geography and places,0,0,0,0,0,1,62.168983,0.13870912361167964,-34.924557,-0.1077602945312307
if alex does well for oneself then they will acquire joy and satisfaction,Human activities,0,1,0,1,0,1,44.82699,0.12956986395764766,-26.955551,0.005766225137272508
if alex does well for oneself they will brag to people about how much better they are,People and self,1,0,0,0,1,1,45.109825,0.10913854706023216,-26.636938,-0.022191614994408995
if alex does well for oneself they will look for ways to thank the people who helped them get to where they are now,People and self,1,1,0,1,1,1,44.781437,0.10030521480598062,-26.248001,0.08461696746291147
if alex does well for oneself they will save their earnings for the future,Human activities,1,1,0,1,0,1,44.032337,0.09902632693601539,-26.975067,0.04262714234199803
if alex does well for oneself they will squander their earnings away foolishly,Human activities,1,1,0,1,1,1,43.810547,0.11375026934199992,-27.205349,-0.026797362700992474
if alex draws alex's conclusions alex is ignorant about the issue,People and self,1,1,0,1,1,0,47.943314,0.03797186029791628,-35.694397,-0.06834403267154397
if alex draws alex's conclusions to show the fraud manner,Human activities,1,0,0,0,0,1,47.78733,0.09813085258001576,-35.060814,-0.05242291359721904
if alex eats all of alex's food sometime disturb,Human activities,0,0,0,0,1,1,5.887853,0.11830054294898028,-56.02396,-0.14664836843091736
if alex eats all of alex's food they will be full,Human activities,0,1,0,0,1,1,6.166579,0.1370617470624581,-56.35953,-0.129481837587833
if alex eats all of alex's food very egarly to eat,Human activities,1,1,0,1,1,1,6.102875,0.12041613183770626,-55.625698,-0.09519873470324386
if alex eats healthier he also considers excercise sleep quality and other important aspects of wellness,Health and fitness,0,0,0,1,0,1,7.16837,0.049549077568657576,-59.845936,-0.05354174005306384
if alex eats healthier he stops exercising,Human activities,0,1,0,0,0,1,5.484101,0.0924421006500302,-59.403664,-0.10603288375183816
if alex eats healthier they will continue to try to maintain their healthy diet longterm,Human activities,1,1,0,1,1,0,5.8202286,0.05998214104510191,-59.29421,-0.030924598233599335
if alex eats healthier they will eat badly the following day,Human activities,0,0,0,1,1,0,5.5557346,0.11557291682716969,-58.335163,-0.13655035123326362
if alex eats sam's bread he would feel remorseful and apologize,General reference,1,1,0,0,0,0,42.64277,0.19986315005232244,-57.3723,-0.07022658041530731
if alex eats sam's bread they will neglect to tell them that so that sam can replace the bread,General reference,0,0,0,0,0,1,41.252274,0.14176830516617303,-57.713184,-0.11022072623190017
if alex eats sam's bread they will tell sam that they are going to need to get more bread,People and self,1,1,0,1,0,1,41.23894,0.14934001429449176,-57.70889,-0.057157964159183006
if alex enforces alex's rights he is ensuring justice,Society and social sciences,1,1,0,1,1,1,55.712315,0.06770392620675948,-30.474419,0.11769257107405394
if alex enforces alex's rights then he will do it poorly,Religion and belief systems,0,0,0,0,0,1,55.126686,0.09460064192745765,-30.155844,0.02267683757218601
if alex enforces alex's rights they would be justified the situation at hand called for it,People and self,1,0,0,1,1,1,55.478344,0.08909175104410577,-30.398857,0.08425151208791361
if alex explains alex's reasons it will make sense,General reference,1,1,0,1,1,1,52.099697,0.1252613459159566,-39.70574,-0.018224043784324483
if alex explains alex's reasons it won't make ssense,People and self,1,1,0,1,1,1,52.257366,0.10800941086248071,-39.333164,-0.07226565664193806
if alex explains alex's reasons they would be incoherent ramblings,General reference,0,0,0,0,0,1,52.470184,0.09716128308078735,-39.042812,-0.07704108697301469
if alex falls around sam and grabs onto them pulling them down too,Religion and belief systems,0,0,0,0,0,1,26.50611,0.1870854845187162,-59.773743,-0.07407741021901573
if alex falls around sam but instead puts their hands out to brace themselves before the hit the ground not pulling anyone down,General reference,0,0,0,1,1,1,26.148678,0.12366932008002951,-59.74273,-0.05076314227312981
if alex falls around sam might think of which to hand it,General reference,0,0,0,0,1,1,26.975754,0.22758693581113204,-59.338898,-0.010303810041207413
if alex feeds the fish he poke the fish with his finger,Health and fitness,0,1,0,0,0,0,11.831639,0.1376468451088236,-43.328148,-0.1520314731869587
if alex feeds the fish he will do so from a distance,General reference,0,0,0,1,0,1,11.645486,0.12392843821726555,-42.75871,-0.10880784943332805
if alex files for bankruptcy then Morgan would ask alex for a loan,People and self,1,1,0,1,0,0,35.76834,0.17617227466159516,-49.719303,0.0057038990820497786
if alex fills alex's glass he won't think to drink from the glass even if he feels thirsty,People and self,1,1,1,1,1,0,3.9901962,0.05821565782165248,-55.47618,-0.18004624494418214
if alex finds a book to read they will break their glasses,Geography and places,0,0,0,0,0,1,22.689306,0.08711121010272285,-35.489555,-0.14045727745194214
if alex finds a book to read they will find a quiet place to read it,Culture and the arts,0,1,1,0,0,1,22.88935,0.08034621658091483,-35.01856,-0.09311936294991535
if alex finds alex's parents alex won't even recognize any similar physical traits that he shares with his parents,History and events,1,0,1,0,1,1,26.42612,0.08021841800881896,-51.53085,-0.12317434080652964
if alex finds alex's parents for showing his angry towards them,General reference,1,0,1,1,1,0,26.438608,0.139982809632181,-51.657207,-0.06668409714767232
if alex finishes the project alex will have more time for the family,Culture and the arts,0,0,0,0,0,0,35.683975,0.14543960942959766,-25.09052,0.014667152695638043
if alex finishes the project alex will laugh at himself,General reference,0,1,0,1,0,1,40.99255,0.161056169873071,-26.87042,-0.10240652346433934
if alex flies across the room they would crash into the wall from the slippery floor,People and self,1,1,1,0,0,0,21.368814,0.10989896335714501,-40.26873,-0.14363345944001651
if alex flies across the room they would fly into a wall,Human activities,0,1,1,0,0,1,21.814037,0.10869098990001592,-40.212994,-0.1324509256871348
if alex flies across the room they would fly straight into a wall,General reference,1,0,0,1,1,0,21.608631,0.1281878203298619,-40.29492,-0.12279897076523183
if alex flies across the room they would go through the window,People and self,0,1,0,0,0,1,21.83473,0.1332878264851362,-40.33181,-0.11252644664946494
if alex flies across the room they would win that race faster than expected,Culture and the arts,0,0,1,1,0,1,22.182112,0.1426483033180255,-41.325306,-0.09803686399070809
if alex flies across the room they'll be careful not to break anything,Human activities,0,1,0,1,1,1,22.173239,0.11503329211329227,-39.74428,-0.11045105929319791
if alex gets a parking ticket in the park,General reference,0,0,0,0,0,1,13.995889,0.12105781896121648,-31.01827,-0.028934189937258766
if alex gets a parking ticket vehicle registration will be held pending,General reference,1,1,0,1,0,1,14.001432,0.07684454376816333,-31.000107,-0.015760513765200622
if alex gets a second job they start slacking off at both their first and second job assuming either of the job will not fire them,General reference,1,1,0,1,0,1,51.929165,0.12704480197871681,-20.601572,-0.06290698122995708
if alex gets back home he thinks he'll never leave again,People and self,1,1,0,1,0,1,27.307608,0.16247900779300026,-27.321203,-0.05904652956092543
if alex gets back home they will be safe in the house,Human activities,1,1,0,1,1,1,27.796059,0.13393395993864196,-28.198795,-0.025657686865858495
if alex gets back home they will stay outside,Geography and places,0,1,0,0,0,1,28.011469,0.13410671810709524,-28.320723,-0.051969316917431535
if alex gets bad news Morgan will speak sarcastically about alex 's bad news,General reference,1,0,0,1,1,1,42.114967,0.18617063338400833,-42.151558,-0.0520784004341465
if alex gets bad news they will feel upset,General reference,1,1,0,1,1,1,42.074486,0.14762085257405452,-42.161194,-0.06340408275920333
if alex gets coffee and drinks it right away his tongue might be burned,Human activities,0,1,0,0,0,1,6.7176743,0.06903171900899484,-37.93521,-0.16181607043922333
if alex gets coffee and lets it cool down or puts milk in it before drinking it it won't burn his tongue,Religion and belief systems,0,1,0,1,0,1,6.680691,0.06005574561126765,-37.967873,-0.13020688605808667
if alex gets coffee he will be able to work faster,Human activities,0,1,0,1,1,1,8.548494,0.059775745668349284,-38.17215,-0.06681502123428029
if alex gets coffee he will pour the coffee on the grass,Geography and places,1,1,1,0,1,1,8.60729,0.12136405551057688,-38.248833,-0.08282725966994053
if alex gets full so they continue to eat more,Human activities,1,1,0,1,0,1,6.1776047,0.10975655730765513,-55.506718,-0.1043653316623789
if alex gets full they would not feel good,Health and fitness,0,0,0,0,0,1,5.532261,0.10032588511118917,-57.780834,-0.13516711591233976
if alex gets on an empty train they believe its empty because no one wants to ride with them,General reference,0,1,0,1,0,1,82.17518,0.07168243488112104,-20.9898,-0.10636910951664638
if alex gets some friends alex will engage in activities that are both fun and healthy e g tennis,People and self,1,1,0,1,1,1,29.50324,0.06186258405679314,-46.96809,-0.0408755364092245
if alex gets some friends alex will suggest an activity that is costly and not productive,General reference,1,1,0,1,1,1,29.056467,0.08679604922134927,-47.668827,-0.06929522506826404
if alex gets the food he won't even know to eat the food even if he is hungry,Health and fitness,0,0,0,0,1,1,4.5456033,0.14566172716060433,-55.79583,-0.17136921853394468
if alex gets the letter alex would not read it,General reference,0,0,0,0,0,0,17.444653,0.08516356694677446,-53.805496,-0.08697875109514336
if alex gets the letter they will throw it in the trash without looking at it,Philosophy and thinking,0,1,0,0,0,1,17.335344,0.09527867368167928,-53.66839,-0.10884070468648199
if alex gives sam a box then Morgan would assume that they are getting a box as well,Culture and the arts,0,1,0,1,1,1,31.288631,0.21039980541932268,-54.57472,-0.02456690674158882
if alex gives sam a box they would throw the box away,People and self,0,0,0,1,0,1,30.84957,0.16251254580041324,-54.455254,-0.08407875129398365
if alex gives sam a box what can i do with this,Culture and the arts,1,1,0,1,0,1,30.62425,0.16603686674941417,-54.11774,-0.03686505026558592
if alex gives sam a trial it will be meaningful,Human activities,1,1,0,0,1,1,42.284004,0.19438567239376925,-64.3491,0.051958111353168974
if alex gives sam a trial it will be unrealistic,Human activities,1,0,0,1,1,1,42.45776,0.16855066767148497,-64.32676,-0.012042418526822005
if alex gives sam a trial they would allow sam to give their point of view of the situation,Culture and the arts,0,1,0,0,0,1,41.806183,0.15392129363173768,-64.20414,0.06894799666522981
if alex gives sam flowers they will give sam poppies and sam is allergic to poppies,General reference,1,0,0,1,0,1,31.281599,0.1387209624638164,-65.01483,-0.0823064922853371
if alex gives sam help sam should be angry about it,People and self,0,0,0,1,1,0,32.503033,0.2613625105571832,-65.77053,-0.031070301632394152
if alex gives sam help they will get angry and storm off,Health and fitness,0,0,1,0,1,1,32.555016,0.2438284979318867,-65.73231,-0.035400214640607684
if alex gives sam instruction it will likely make a lot of sense,Health and fitness,0,1,0,1,0,1,50.059185,0.0924174437277607,-38.50608,-0.03791833633710496
if alex gives sam instruction it will most likely be wrong,Culture and the arts,1,1,0,1,1,1,49.924843,0.08112200969142958,-38.352764,-0.07043977932525296
if alex gives sam one dollar than sam only has one dollar,Mathematics and logic,0,1,0,0,0,1,37.492836,0.12182495409299456,-53.780544,-0.054518334050264385
if alex gives sam one extra debit card and their pin,History and events,1,1,0,0,1,0,34.53158,0.1849537439660522,-54.93552,-0.0011340665968357503
if alex gives sam one money sam will have no idea what to do with the money,Health and fitness,1,1,0,0,0,1,36.024498,0.17433424524469812,-52.294735,-0.00429828520485815
if alex gives sam one sam will assume there are more,People and self,1,1,1,1,1,1,31.95915,0.20553829552680422,-54.4231,-0.0759535824348398
if alex gives sam one they tell them by when they want the favor returned,People and self,1,1,0,1,1,1,32.679398,0.19655423993043022,-53.357643,-0.022222190828912188
if alex gives sam the slip alex will go to a bad part of town and get into trouble,People and self,1,1,0,1,1,1,31.789982,0.19041358269552563,-61.758408,-0.06807698856023375
if alex goes car shopping he she will buy the first car without shopping around and not negotiate a better price,Culture and the arts,1,1,0,1,1,1,11.153033,0.07836417868381446,-15.219524,-0.08241016326326718
if alex goes down in flames he is likely to succeed,General reference,0,1,1,0,0,1,43.061306,0.17054727140156245,-29.961237,-0.010352415364121053
if alex goes down in flames it is because they flew too close to the sun,People and self,0,0,1,0,1,0,43.178066,0.11762932761887795,-29.411863,-0.03571201658895043
if alex goes sam's separate ways they will not meet,People and self,1,1,1,1,1,1,32.165546,0.17207154650056933,-69.93475,-0.07325084315194386
if alex goes sam's separate ways they would lead happy productive lives,Health and fitness,0,1,0,1,0,1,32.565567,0.14811472259110872,-69.461235,0.015286898655406403
if alex goes sam's separate ways they would leave sam alone,Human activities,1,1,0,1,0,1,32.071144,0.22891931419364964,-69.95541,-0.03519641564584239
if alex goes sam's separate ways they would still cause trouble for one another,People and self,1,1,0,1,1,1,32.75984,0.17695744742559114,-68.510475,-0.020407643953144722
if alex goes to the zoo with sam's family sam's family ignore alex,Health and fitness,0,1,0,1,0,0,31.181118,0.17565252413739038,-76.425804,-0.0876634135288088
if alex goes to the zoo with sam's family the family would force and push alex into the lion exhibit hoping that the lions and alex would become friends,Human activities,1,1,0,1,0,1,31.362747,0.17321863933039836,-76.65443,-0.03895958643883217
if alex goes to the zoo with sam's family they ignore Morgan,Human activities,1,1,1,1,1,1,31.108591,0.18008793808683504,-76.368706,-0.07232724035988146
if alex grabs sam's things there might be a face off,People and self,1,1,0,1,1,1,32.27022,0.21992218914524322,-62.819023,-0.038814919730525636
if alex grabs sam's things they might decide to talk things out,Human activities,1,1,0,1,0,0,32.361706,0.20487349051521045,-62.754463,0.0048936669164987645
if alex grows a set of onions and then stuffs them in the garbage disposal,Natural and physical sciences,0,1,1,0,0,1,13.188088,0.08133333716243281,-50.499775,-0.12305721072906463
if alex grows older alex is now wrinkley,Health and fitness,0,0,0,0,1,0,12.338357,0.11680934930573654,-57.192387,-0.11299444033561291
if alex grows older then they didn't have any birthdays,General reference,1,1,0,1,0,1,12.356423,0.12229391966702156,-57.20358,-0.06440029066839027
if alex hangs a picture they would try using superglue instead of tacs,People and self,0,1,0,1,0,1,42.17619,0.07958125277341375,-10.955506,-0.09657596549744736
if alex hangs around sam alex must really intensely hate sam,People and self,1,1,0,1,1,1,33.3048,0.1719921345224357,-73.02018,-0.07577089469312208
if alex hangs around sam alex would say something that offends sam,People and self,1,1,0,1,0,0,32.294144,0.23090165760266312,-65.03478,-0.07962824569353812
if alex has a great boss alex will say good things about their boss,Human activities,1,1,0,1,1,1,59.271763,0.13032308188128378,-24.596292,0.03372855335452389
if alex has a great boss they will not work diligently,People and self,1,1,0,0,0,1,58.426296,0.11464618698140017,-24.6765,-0.0760492001958351
if alex has a great boss they would not like them,People and self,1,1,0,1,1,1,58.604923,0.1075410204533947,-24.626503,-0.04208171666284122
if alex has a high fever all he needs to do is to wait for the fever to subside,Health and fitness,0,1,0,0,0,1,4.110248,0.08354289706156921,-34.61313,-0.07740602760325316
if alex has a high fever get into a hot bath,Natural and physical sciences,0,1,0,1,0,1,3.1273737,0.057918048609202744,-34.843582,-0.11353456700206119
if alex has a high fever he is likely to be healthy,People and self,0,1,0,0,0,1,3.3895133,0.03645900500824107,-33.734924,-0.0977524035358651
if alex has a high fever then Morgan would take them outside to exercise on a hot day,Religion and belief systems,0,0,0,0,0,1,2.9978552,0.11521851727226225,-34.792107,-0.12094550064646908
if alex has a high fever they will take lots of tylenol and try to sleep it off,Human activities,0,1,0,1,0,1,3.68674,0.09774714921068625,-35.145733,-0.09239837526169206
if alex has an english test tomorrow they would go on an all night video gaming binge,Human activities,1,1,0,1,1,1,39.22571,0.10154794990175492,-22.606686,-0.098109165442856
if alex has an english test tomorrow they would review the material for the exam,Culture and the arts,0,0,0,1,0,1,39.58808,0.11752321768294248,-22.705069,-0.08575894528144798
if alex has never cooked before they may burn their food,Culture and the arts,0,0,0,1,1,0,5.045334,0.08799333835294335,-50.1571,-0.1555168509281549
if alex has never cooked before they may look up recipes online,People and self,1,1,0,1,1,1,4.9538546,0.08152679944743714,-50.08215,-0.11540209836514849
if alex has sam by the balls he would have no chance since he's weaker and smaller,Geography and places,0,0,1,1,0,1,20.79605,0.18029432510716611,-61.183914,-0.04644153698652538
if alex hears a strange noise they will not inspect,People and self,0,1,0,1,1,1,25.458506,0.11487730694424361,-22.328217,-0.14336348088884998
if alex immediately tried he would ask for a return of favor,People and self,1,1,0,1,0,1,32.751892,0.18553121687440383,-52.819874,-0.048313624353317514
if alex immediately tried he would move on,People and self,1,1,0,1,1,1,37.491688,0.19827323631012728,-32.151443,-0.06811671251665487
if alex immediately tried to drive a car after putting the key in the ignition and turning it on,Culture and the arts,0,1,1,1,0,1,18.863762,0.09807193811496215,-26.5921,-0.11411346265394012
if alex invites people over they will forget to give them directions,Health and fitness,0,0,0,0,0,1,23.141148,0.10943486831281572,-30.429733,-0.13387142236516697
if alex is a country music star alex will resort to drugs and alcohol until it becomes a serious addiction problem,Health and fitness,1,1,0,1,1,1,43.837906,0.10970666384936079,-21.761564,-0.06861659112482614
if alex is a country music star alex will save the newly obtained money remain humble and enjoy it while it lasts,History and events,0,0,1,0,1,1,43.86463,0.12461263930675787,-21.953772,-0.010048531018878676
if alex is a country music star they will say to a reporter that they hate all their fans,Culture and the arts,0,0,0,1,0,1,43.855965,0.10475279115440304,-21.540483,-0.06113391930181859
if alex is a country music star they would wear cowboy hats and boots on stage,Human activities,0,0,0,1,1,1,43.810326,0.07867431513566471,-20.181261,-0.0383423691363957
if alex is a football player they would not wear a helmet,Health and fitness,1,0,0,1,1,1,21.225258,0.09342918321352392,-44.757492,-0.1140788767065389
if alex is a freshman in college they would drop out,People and self,1,1,0,1,0,1,-7.0445538,0.09796822496563247,-47.221886,-0.07186344631208748
if alex is a little boy person two does not know he is,Geography and places,0,0,0,0,0,1,26.50814,0.09116288071137127,-50.504913,-0.1260153733588275
if alex is able to escape he will get away,People and self,0,0,0,1,0,0,31.16023,0.17086968320164145,-32.190113,-0.04414385142023661
if alex is able to escape they will be caught again,Human activities,1,1,0,1,1,1,30.632719,0.1526563261229219,-32.341347,-0.026938494874511987
if alex is able to escape they will escape quietly,People and self,0,0,0,0,0,1,31.311888,0.16464736900051422,-32.27239,-0.0440558157463228
if alex is able to escape they will tell the guards,Culture and the arts,0,0,0,0,0,1,30.888035,0.15120062226080885,-32.565933,-0.032369675749817764
if alex is driving alex's car on the highway alex is driving under the influence of alcohol,Human activities,0,1,0,1,0,0,14.446851,0.07403724535319492,-24.879387,-0.0875195065735387
if alex is driving alex's car on the highway alex leaves the door ajar,Culture and the arts,0,1,0,0,0,1,15.313834,0.08855872761017819,-24.840652,-0.13237959736983845
if alex is driving alex's car on the highway they will not look before changing lanes,Religion and belief systems,0,0,0,0,0,1,15.421639,0.029405432874672007,-23.45316,-0.12152235499733942
if alex is driving alex's car on the highway they're going 30 mph over the speed limit,Human activities,1,1,0,1,0,1,14.180984,0.09801475256550665,-25.370317,-0.07265633226644747
