statement;Drop;hash;behavior;everyday;figure_of_speech;judgment;opinion;reasoning;statement_id;i_agree;i_agree_probability;others_agree;others_agree_probability;statement_r;awareness;consensus;commonsensicality;nlp_score
Trust your instincts.;;366c7968ad;TRUE;TRUE;FALSE;TRUE;TRUE;FALSE;397;yes;0.9953904330140138;yes;0.9999832985823803;Trust your instincts.;0.9954071344316334;0.9816467244872482;0.9885029858559108;Trust your instincts.
Reading makes you smarter.;;a34bad73fb;TRUE;TRUE;FALSE;TRUE;TRUE;FALSE;1726;yes;0.9997388098500438;yes;0.9999990577553588;Reading makes you smarter.;0.999739752094685;0.998955512281353;0.9993475552588194;Reading makes you smarter.
Prioritizing family is essential.;;43e65261ce;TRUE;TRUE;FALSE;TRUE;TRUE;FALSE;1693;yes;0.9999687981029088;yes;0.9999997300424086;Prioritizing family is essential.;0.9999690680605002;0.9998751963058689;0.9999221310816104;Prioritizing family is essential.
Social media has a negative impact on mental health.;;6725e2f2cb;TRUE;TRUE;FALSE;TRUE;TRUE;FALSE;1447;yes;0.9999945777888026;yes;0.999998932298034;I think social media has a negative impact on mental health.;0.9999956454907686;0.999978311272812;0.9999869783442304;I think social media has a negative impact on mental health.
The truth hurts.;;2d7f397b78;TRUE;TRUE;FALSE;TRUE;TRUE;FALSE;819;yes;0.9999980052722921;yes;0.9999996533675994;The truth hurts.;0.9999983519046927;0.9999920211050841;0.9999951864998785;The truth hurts.
Voting is a civic duty.;;aed59d4d01;TRUE;TRUE;FALSE;TRUE;TRUE;FALSE;1954;yes;0.9999990577563457;yes;0.9999992661798854;Voting is a civic duty.;0.9999997915764602;0.999996231028934;0.9999980113011124;Voting is a civic duty.
Kindness matters deeply.;;e5b13b192d;TRUE;TRUE;FALSE;TRUE;TRUE;FALSE;99;yes;0.99999949565281;yes;0.999999946842143;Kindness matters deeply.;0.999999548810667;0.9999979826122575;0.9999987657111556;Kindness matters deeply.
People often nostalgic about their childhood.;;1c46c998c9;TRUE;TRUE;FALSE;TRUE;TRUE;FALSE;1348;yes;0.9999998362624367;yes;0.9999999123575097;People often nostalgic about their childhood.;0.999999923904927;0.9999993450498541;0.9999996344773486;People often nostalgic about their childhood.
Music can improve mood.;;9a5955dd29;TRUE;TRUE;FALSE;TRUE;TRUE;FALSE;1811;yes;0.9999999226557789;yes;0.9999999865595889;I feel that music can improve mood.;0.99999993609619;0.9999996906231394;0.9999998133596572;I feel that music can improve mood.
Dogs are loyal pets.;;af1b9b95c1;TRUE;TRUE;FALSE;TRUE;TRUE;FALSE;1838;yes;0.9999999397642624;yes;0.9999999468421448;Dogs are loyal pets.;0.9999999929221176;0.9999997590570641;0.999999875989584;Dogs are loyal pets.
Showing gratitude is good manners.;;32e16a3505;TRUE;TRUE;FALSE;TRUE;TRUE;FALSE;1032;yes;0.9999999677581309;yes;0.9999999530883554;Showing gratitude is good manners.;0.9999999853302245;0.9999998710325279;0.9999999281813745;Showing gratitude is good manners.
Cheating is dishonest.;;2e936f468c;TRUE;TRUE;FALSE;TRUE;TRUE;FALSE;1633;yes;0.9999999907625498;yes;0.9999999804443175;Cheating is dishonest.;0.9999999896817677;0.9999999630501993;0.9999999763659834;Cheating is dishonest.
Children learn by example.;;bc21e26993;TRUE;TRUE;FALSE;TRUE;TRUE;FALSE;1742;yes;0.9999999973534263;yes;0.9999999956365377;Children learn by example.;0.9999999982831115;0.999999989413705;0.9999999938484082;Children learn by example.
Hunger is the best sauce.;;c86887aa7d;TRUE;TRUE;FALSE;TRUE;TRUE;TRUE;1089;yes;0.8175745461022089;no;0.6513546501399579;Hunger is the best sauce.;0.8337801040377489;0.40341436932809605;0.5799645461825256;Hunger is the best sauce.
Friends should loyalty.;X;b4d4b21a6b;TRUE;TRUE;FALSE;TRUE;TRUE;TRUE;119;yes;0.9953904364559314;yes;0.9991959168845445;Friends should loyalty.;0.9961945195713869;0.9816467381279927;0.9888938773590596;Friends should loyalty.
Courtesy costs nothing but buys everything.;;5c49c1bff3;TRUE;TRUE;FALSE;TRUE;TRUE;TRUE;771;yes;0.9995121432632117;yes;0.9990889497854152;Courtesy costs nothing but buys everything.;0.9995768065222035;0.9980495250696293;0.9988128738758336;Courtesy costs nothing but buys everything.
A positive attitude attracts positive outcomes.;;90b585d92e;TRUE;TRUE;FALSE;TRUE;TRUE;TRUE;376;yes;0.9999832985942496;yes;0.9999970976909643;A positive attitude attracts positive outcomes.;0.9999862009032853;0.9999331954927463;0.9999596978468049;A positive attitude attracts positive outcomes.
A poor workman blames his tools.;;a8abb892ee;TRUE;TRUE;FALSE;TRUE;TRUE;TRUE;899;yes;0.9999945777836834;yes;0.9999977396773716;A poor workman blames his tools.;0.9999968381063118;0.9999783112523353;0.9999875746364174;A poor workman blames his tools.
Beggars can't be choosers.;;59ad9d58bb;TRUE;TRUE;FALSE;TRUE;TRUE;TRUE;158;yes;0.9999974387188323;yes;0.9999997617632492;Beggars can't be choosers.;0.9999976769555831;0.9999897549015698;0.9999937159207315;Beggars can't be choosers.
Kapital kidded kiddo kin wollen'd kidding เลวีน;X;11dea8c874;TRUE;TRUE;FALSE;TRUE;TRUE;TRUE;872;no;0.9999997300421544;no;0.9999996072140077;Kapital kidded kiddo kin wollen'd kidding เลวีน;0.9999998771718533;0.999998920168909;0.9999993986702668;Kapital kidded kiddo kin wollen'd kidding เลวีน
Helping others is a noble act.;;887de56a5b;TRUE;TRUE;FALSE;TRUE;TRUE;TRUE;1706;yes;0.9999999006880538;yes;0.999999855502111;Helping others is a noble act.;0.9999999548140572;0.9999996027522545;0.9999997787831404;Helping others is a noble act.
Perseverance pays off.;;5bbebcd217;TRUE;TRUE;FALSE;TRUE;TRUE;TRUE;739;yes;0.9999999226557718;yes;0.9999999847700201;Perseverance pays off.;0.9999999378857517;0.999999690623111;0.9999998142544237;Perseverance pays off.
Kindness begets kindness.;;4b8f1f1f78;TRUE;TRUE;FALSE;TRUE;TRUE;TRUE;1123;yes;0.9999999748900071;yes;0.9999999006880489;Kindness begets kindness.;0.9999999257980418;0.9999998995600311;0.9999999126790363;Kindness begets kindness.
Friendship enriches life.;;2a4adb7e6a;TRUE;TRUE;FALSE;TRUE;TRUE;TRUE;1746;yes;0.9999999677581274;yes;0.9999999928058667;Friendship enriches life.;0.9999999749522607;0.9999998710325136;0.9999999229923858;Friendship enriches life.
Actions should match words.;;b1b31e53be;TRUE;TRUE;FALSE;TRUE;TRUE;TRUE;1590;yes;0.9999999748900066;yes;0.9999999586006207;Actions should match words.;0.9999999837106142;0.9999998995600289;0.9999999416353207;Actions should match words.
Pets often bring joy to their owners.;;5b3406147e;TRUE;TRUE;FALSE;TRUE;TRUE;TRUE;1908;yes;0.9999999936511992;yes;0.999999912357659;Pets often bring joy to their owners.;0.9999999187064598;0.9999999746047968;0.999999946655628;Pets often bring joy to their owners.
A smile often indicates friendliness.;;028c784ae0;TRUE;TRUE;FALSE;TRUE;TRUE;TRUE;1889;yes;0.9999999865595878;yes;0.9999999634651725;A smile often indicates friendliness.;0.9999999769055847;0.9999999462383519;0.9999999615719681;A smile often indicates friendliness.
Compliments can boost a person's confidence.;;40288472cd;TRUE;TRUE;FALSE;TRUE;TRUE;TRUE;1389;yes;0.99999999902638;yes;1.0;Compliments can boost a person's confidence.;0.99999999902638;0.9999999961055202;0.99999999756595;Compliments can boost a person's confidence.
