statement,statement_r,hash,behavior,everyday,figure_of_speech,judgment,opinion,reasoning,awareness,consensus,commonsensicality
Drones offer efficient delivery solutions.,Drones offer efficient delivery solutions.,033a65a654,0,1,0,0,0,0,0.9998869618439806,0.9998184168471459,0.9998526887581747
E=mc^2 is Einstein's theory of relativity.,E=mc^2 is Einstein's theory of relativity.,c0ee2f7160,0,1,0,0,0,0,0.912227572321272,0.9699207614866742,0.9406319479982531
E=mc^2 represents the equivalence of energy and mass.,E=mc^2 represents the equivalence of energy and mass.,bfaec10cd5,0,1,0,0,0,0,0.9991972860653181,0.99999451618134,0.9995958216442263
Early birds catch the worm.,Early birds catch the worm.,3d0286409a,0,1,0,1,0,1,0.9999991990619017,0.9999897549018474,0.9999944769707254
Early mornings are productive.,Early mornings are productive.,26f6f1a379,0,1,0,1,1,0,0.9970307471815234,0.9873495455450695,0.9921783383667163
Early risers get a head start.,Early risers get a head start.,9f84d4dbf9,0,1,0,1,1,1,0.9999994377409624,0.9999808597343158,0.999990148694496
"Early to bed, early to rise.","Early to bed, early to rise.",19b04335fa,0,1,0,1,0,0,0.9628526508271408,0.9992820173091712,0.9808982308527364
Earth has varied climates.,Earth has varied climates.,e423a8f082,0,1,0,0,0,0,0.9999999841274564,0.9999999630501998,0.999999973588828
Earth’s crust is diverse.,Earth’s crust is diverse.,754248ef2a,0,1,0,0,0,0,0.9999875213566295,0.9999909587293679,0.9999892400415218
Eat like a horse.,Eat like a horse.,c11a43c79a,0,1,0,1,1,0,0.9998658640797065,0.9999028014565546,0.9998843325975646
Eating slowly aids digestion.,Eating slowly aids digestion.,37ddade6ca,0,1,0,0,0,0,0.9999999999887772,0.9999540854719234,0.9999770424668264
Ecosystems rely on balanced interactions.,Ecosystems rely on balanced interactions.,c2801839aa,0,1,0,0,0,0,0.9999994743747668,0.999998776393021,0.999999125383833
Ecuador's Galápagos Islands are unique.,Ecuador's Galápagos Islands are unique.,9a7a96d11e,0,1,0,0,0,0,0.9999980134221389,0.999992021096385,0.9999950172547735
Educated guesses help make predictions.,Educated guesses help make predictions.,f4ef925dc0,1,0,0,1,1,1,0.9999998763317997,0.9999999845970323,0.9999999304644145
Education broadens horizons.,Education broadens horizons.,fadd77452f,1,0,0,1,1,0,0.9999999829881089,0.9999999390800762,0.9999999610340923
Effective planning guides success.,Effective planning guides success.,18521b4494,1,0,0,1,1,0,0.9999999021035365,0.9999992578443262,0.9999995799738794
Efficient algorithms optimize performance.,Efficient algorithms optimize performance.,cec75ba053,0,1,0,1,0,0,0.9964142914204386,0.9999684432265036,0.9981897854618307
Efficient workflows increase output.,Efficient workflows increase output.,368decfdb1,0,1,0,1,0,0,0.9999986973009732,0.9999997269758745,0.9999992121382913
Egypt is known for its pyramids.,Egypt is known for its pyramids.,8c22f19cec,0,1,0,0,0,0,0.9999999957970392,0.999999963050198,0.9999999794236185
Egypt's Nile Valley is historically rich.,Egypt's Nile Valley is historically rich.,2aa2faa08a,0,1,0,0,0,0,0.9999997978654015,0.9999994220085253,0.9999996099369457
Electric cars reduce carbon emissions.,Electric cars reduce carbon emissions.,b025f703f6,0,1,0,0,0,0,0.9999898951899902,0.9999883907954331,0.9999891429924287
Electricity powers modern technology.,Electricity powers modern technology.,e53dfe61d7,0,1,0,1,0,0,0.9999999956742996,0.9999999217772737,0.999999958725786
Electricity powers our daily lives.,Electricity powers our daily lives.,0cc8ac9286,0,1,0,1,0,0,0.9999999635558496,0.9999998123537955,0.9999998879548198
Electrons orbit the nucleus of an atom.,Electrons orbit the nucleus of an atom.,9d27660aa9,0,1,0,0,0,0,0.5340099888010039,0.0038960233799986144,0.045612667116948
Empathy bridges differences.,Empathy bridges differences.,cc908212c7,1,1,0,1,1,1,0.9999999909118202,0.9999996906231412,0.9999998407674694
Empathy fosters connection.,Empathy fosters connection.,cebee87ebf,1,1,0,1,1,1,0.9999999921478344,0.9999999309686859,0.9999999615582597
Empathy strengthens bonds.,Empathy strengthens bonds.,164e0fb435,1,1,0,1,1,1,0.9999999976846192,0.9999999673919147,0.9999999825382668
Encourage others often.,Encourage others often.,5ddd6c8e86,1,1,0,1,1,0,0.9999986320418143,0.9999992578442578,0.999998944942987
Encouragement builds confidence.,Encouragement builds confidence.,7b0124de05,1,1,0,1,1,1,0.9999999986628854,0.9999999917553852,0.9999999952091353
Encouragement fuels motivation.,Encouragement fuels motivation.,44a7d8164b,1,1,0,1,1,1,0.9999999157377321,0.9999997590575002,0.999999837397613
Encouragement inspires action.,Encouragement inspires action.,a56dfe8ee6,1,0,0,1,1,1,0.99999993722287,0.9999998538607051,0.9999998955417867
Encouragement is a powerful motivator.,Encouragement is a powerful motivator.,2749b92f1b,1,1,0,1,1,0,0.9999999727026283,0.9999999630501958,0.999999967876412
Encyclopedias contain authoritative information.,Encyclopedias contain authoritative information.,9f680fe170,0,1,0,0,0,0,0.9999980786605788,0.9999754234692536,0.9999867510007582
Engaging in rituals promotes continuity.,Engaging in rituals promotes continuity.,cdf971cb18,1,0,0,1,1,0,0.9978626850590875,0.9998184170018046,0.9988400723644137
Engaging stories captivate the mind.,Engaging stories captivate the mind.,17a36ca31a,1,1,0,1,1,0,0.9999997113557324,0.9999999309686814,0.9999998211622009
Environmental conservation is vital.,Environmental conservation is vital.,6deda9230f,0,1,0,1,1,0,0.9999999719521406,0.9999997873686046,0.9999998796603684
Epic narrations recount legendary deeds.,Epic narrations recount legendary deeds.,0d293ac538,1,1,0,1,1,0,0.9999939626215414,0.9999883907973329,0.9999911767055565
Epic poems narrate grand tales.,Epic poems narrate grand tales.,977e39c271,1,1,0,1,1,0,0.9999991829212149,0.9999984288566351,0.9999988058888539
Equations balance two expressions.,Equations balance two expressions.,6554ad8d8e,0,1,0,0,0,0,0.9997000072218868,0.9998585801707223,0.9997792905524381
Ergonomic setups reduce workplace injuries.,Ergonomic setups reduce workplace injuries.,277617398d,0,1,0,1,0,0,0.9999997709515155,0.9999993450497733,0.9999995580006217
Ethical dilemmas challenge moral clarity.,Ethical dilemmas challenge moral clarity.,24163d233e,1,0,0,1,1,0,0.9999155357524635,0.9999986134708047,0.9999570737488586
Ethical hacking safeguards systems.,Ethical hacking safeguards systems.,9def5f8fa6,0,1,0,1,1,0,0.9999848014874413,0.9999850935157114,0.9999849475015657
Ethics matter in genetic engineering.,Ethics matter in genetic engineering.,780cedd868,1,1,0,1,1,0,0.9999995410354411,0.9999995498593046,0.9999995454473728
Euclidean geometry underpins many mathematical principles.,Euclidean geometry underpins many mathematical principles.,f4599fb9e3,0,0,0,0,0,0,0.9150804366678348,0.9992820178835204,0.9562548955582748
Evaluating actions predicts results.,Evaluating actions predicts results.,12aa5da8b3,1,0,0,1,1,1,0.9120396241373373,0.7740946204677764,0.8402410170291412
Evaluating arguments refines ideas.,Evaluating arguments refines ideas.,3d3e00ebdc,1,0,0,1,1,0,0.9999931253928194,0.9999996494300728,0.9999963874061257
Evaluating evidence strengthens cases.,Evaluating evidence strengthens cases.,187bfbac42,1,0,0,1,1,1,0.9999955615429792,0.9999986134707722,0.9999970875057115
Evaluating pros and cons aids decisions.,Evaluating pros and cons aids decisions.,896884b00c,1,0,0,1,1,1,0.9999999648742458,0.9999998995600178,0.9999999322171312
Evaluations appraise performance.,Evaluations appraise performance.,c6583bb88f,1,1,0,1,1,0,0.9999852933230987,0.9999920211095175,0.9999886572106501
Evaluations assess impacts.,Evaluations assess impacts.,126ecfdef7,0,1,0,0,0,0,0.5316397539623753,0.9982785168626402,0.7285084385858402
Evening walks help to unwind.,Evening walks help to unwind.,a99f489e44,0,1,0,1,1,0,0.999999915581373,0.9999989201698549,0.9999994178754901
Every rose has its thorn.,Every rose has its thorn.,a1626d679c,0,0,0,1,1,0,0.9999562803589763,0.9994407899190765,0.9996985019127101
Evolutionary biology explores species' adaptive changes.,Evolutionary biology explores species' adaptive changes.,e0ffd5ac36,0,1,0,0,0,0,0.9999996401505915,0.9999994220085573,0.9999995310795684
Exercise enhances mood.,Exercise enhances mood.,dff1fca7cd,0,1,0,1,0,0,0.9999999999995142,0.9999977140023483,0.999998857000278
Exercising daily revitalizes you.,Exercising daily revitalizes you.,569b9cf993,0,1,0,0,0,0,0.9999887208070586,0.9999331955004923,0.9999609577683779
Exercising promotes health.,Exercising promotes health.,47d3950e90,0,1,0,0,0,0,0.9999999977021232,0.9999999802221972,0.9999999889621601
Existence precedes essence in existentialist philosophy.,Existence precedes essence in existentialist philosophy.,06e4ea94d3,1,0,0,1,1,0,0.9990978894105006,0.999964241568476,0.9995309716247097
Exorcisms expel evil spirits.,Exorcisms expel evil spirits.,9c130c98a8,0,1,0,1,0,0,0.9999760934886757,0.9998898603134119,0.9999329759714614
Exploring nature sparks curiosity.,Exploring nature sparks curiosity.,e456ff2c89,0,1,0,1,1,1,0.9999998738976374,0.9999994899241791,0.9999996819108898
Exponents describe repeated multiplication.,Exponents describe repeated multiplication.,da1aa2e8c4,0,1,0,0,0,0,0.9999988145834287,0.9999945161853613,0.9999966653820854
Eye contact shows attentiveness.,Eye contact shows attentiveness.,725b2328e7,1,1,0,1,1,1,0.999999988330537,0.9999996494301003,0.9999998188803043
Face challenges head-on.,Face challenges head-on.,bd7544b4f7,1,1,0,1,1,0,0.9999988392887362,0.9999984288566156,0.9999986340726549
Fact-checking ensures accuracy.,Fact-checking ensures accuracy.,358d000232,0,1,0,1,0,0,0.9991036888209117,0.9963591194632754,0.9977304604181001
Factorization breaks numbers into prime components.,Factorization breaks numbers into prime components.,b3561f038f,0,1,0,0,0,0,0.9995522070174292,0.9998397517619442,0.9996959690512961
Facts are foundational in learning.,Facts are foundational in learning.,ec1200268d,1,0,0,1,0,0,0.9999997058960083,0.9999979826122846,0.9999988442537752
Facts don't lie.,Facts don't lie.,956f074c89,1,1,0,1,1,0,0.9984436190866747,0.9912881999805834,0.9948594764822462
Facts help understand realities.,Facts help understand realities.,26ce3d7670,1,0,0,1,1,0,0.9999998827169468,0.9999997269763576,0.9999998048466492
Facts prove the argument.,Facts prove the argument.,d5f544a162,1,1,0,1,1,0,0.9975759126827859,0.985677268967528,0.9916087440119503
Facts validate opinions.,Facts validate opinions.,c259d4baae,1,0,0,1,1,0,0.9858565473239069,0.7480626915633019,0.8587680142427438
Facts will eventually surface.,Facts will eventually surface.,78c2a4ac03,1,1,0,1,1,0,0.9999186388582758,0.9998898604218325,0.9999042495365195
Fair weather friends are unreliable.,Fair weather friends are unreliable.,0397b0a48c,0,1,0,1,1,0,0.9999998946405533,0.9999999113620357,0.9999999030012945
Faith can move mountains.,Faith can move mountains.,11b107fde3,1,0,0,1,1,0,0.9962810605423398,0.9792285157527175,0.9877179881866173
Faith guides our moral compass.,Faith guides our moral compass.,f7a42dcde8,1,0,0,1,1,0,0.7064113577823696,0.16938990389043318,0.3459175508728431
Faith in times of uncertainty.,Faith in times of uncertainty.,9d32b946d5,1,0,0,1,1,0,0.9998447606156333,0.9999028014152297,0.9998737805942866
Familiarity breeds contempt.,Familiarity breeds contempt.,335a528fcb,1,0,0,1,1,1,0.9862717400629972,0.9986590504907321,0.9924460687902165
Farmers markets often have fresher produce.,Farmers markets often have fresher produce.,a27dec9937,0,1,0,1,0,0,0.9999999829881102,0.9999999390800749,0.9999999610340923
"Feed a cold, starve a fever.","Feed a cold, starve a fever.",b83ae7e77f,0,1,0,1,1,1,0.5409177637411858,0.9615430903904997,0.7211905006271353
Fertile soil is a farmer's gold.,Fertile soil is a farmer's gold.,f0db52a621,0,0,0,0,0,0,0.9999958505583385,0.9999754234729298,0.9999856369634752
Festivals unite communities.,Festivals unite communities.,b163708eaa,1,1,0,1,1,0,0.9999999419799768,0.9999992578443075,0.9999995999120836
Fields of lavender smell calming.,Fields of lavender smell calming.,e2d04b5e41,0,1,0,0,0,0,0.9999994334512359,0.9999920210961665,0.9999957272668333
Figurative art represents human forms.,Figurative art represents human forms.,cf5d4c81b1,0,1,0,1,0,0,0.9747263712770878,0.16938988858080328,0.40633581115549805
"Finders keepers, losers weepers.","Finders keepers, losers weepers.",7617c41132,1,0,0,1,1,1,0.9977578842022843,0.9990781859985595,0.9984178168555381
Fire is hot and burns.,Fire is hot and burns.,ad2af4189d,0,1,0,0,0,0,0.9999999946132925,0.9999999845970305,0.9999999896051616
Firm handshakes show confidence.,Firm handshakes show confidence.,8a8b67b2cb,1,1,0,1,1,1,0.9999998389065299,0.9999986134707385,0.9999992261884465
First impressions are lasting.,First impressions are lasting.,77409080a3,1,0,0,1,1,0,0.9999985590380823,0.9999937860212282,0.9999961725268075
First things first.,First things first.,7528aca18b,1,1,0,1,1,0,0.9999999999993471,0.9999974096232671,0.9999987048104684
Fish oils benefit brain health.,Fish oils benefit brain health.,41e7bef903,0,1,0,0,0,0,0.9999621889238125,0.9996156279061783,0.9997888933987581
Fish swim in water.,Fish swim in water.,d2f96a7bbf,0,1,0,0,0,0,0.9999999946132924,0.9999999630502016,0.9999999788317468
Fitness boosts mental health.,Fitness boosts mental health.,c4d05b86b9,0,1,0,1,0,0,0.999999978032276,0.9999996906231372,0.9999998343276962
Fitness trackers monitor physical activity.,Fitness trackers monitor physical activity.,b12d58bb3e,0,1,0,0,0,0,0.9999998859215501,0.9999994899246227,0.9999996879230668
Flexibility prevents injuries.,Flexibility prevents injuries.,f8976a70ab,0,1,0,0,0,0,0.9999735831959782,0.9998751963225194,0.9999243885491602
Flowers are a thoughtful gift.,Flowers are a thoughtful gift.,18f08c3c77,1,1,0,1,1,0,0.9999998727599346,0.9999994220085049,0.9999996473841943
Flowers beautify spaces.,Flowers beautify spaces.,ea9017f084,0,1,0,0,1,0,0.9999999288641984,0.9999995498593175,0.99999973936174
Flowers bloom in spring.,Flowers bloom in spring.,1f4ec342e7,0,1,0,0,0,0,0.9999973079357689,0.9999883908039308,0.9999928493599104
Flowers brighten a room.,Flowers brighten a room.,e314cf0020,0,1,0,1,0,0,0.9999996206544125,0.9999984288566209,0.9999990247553392
Flu vaccines prevent the flu.,Flu vaccines prevent the flu.,018b802687,0,1,0,0,0,0,0.5985780572434822,0.03434868972166949,0.14338888367811534
Folktales reflect indigenous knowledge.,Folktales reflect indigenous knowledge.,3315fac7d2,1,1,0,1,1,0,0.9999938710882738,0.9999929586408378,0.9999934148644517
Follow the recipe for accurate cooking results.,Follow the recipe for accurate cooking results.,beeea9dd4e,0,1,0,0,0,0,0.9999999637813616,0.9999993450497373,0.9999996544155016
Food for thought.,Food for thought.,b3e0c7d264,1,1,0,1,1,0,0.8048836826662155,0.05998414823888454,0.21972769997455846
Forests have dense trees.,Forests have dense trees.,8c99c1461c,0,1,0,0,0,0,0.9999995560191017,0.9999977140018473,0.9999986350100504
Fortune favors the bold.,Fortune favors the bold.,6dfb7a73b0,1,0,0,1,1,1,0.9998048495901861,0.999078185967163,0.9994414517367866
France's Riviera is glamorous.,France's Riviera is glamorous.,e957631b34,0,1,0,1,1,0,0.9999998015548401,0.9999987763922905,0.9999992889734339
Freedom correlates with responsibility.,Freedom correlates with responsibility.,e8faadb39c,1,0,0,1,1,0,0.9999986847435074,0.999992958646992,0.9999958216911511
Fresh air boosts mood.,Fresh air boosts mood.,57c73d6cf1,0,1,0,1,0,0,0.9999996387435479,0.9999977140026396,0.9999986763726306
Fresh fruits boost immunity.,Fresh fruits boost immunity.,aa5fc65255,0,1,0,0,0,0,0.9999770707534885,0.9999028015503346,0.9999399354623808
Fresh ideas drive innovation.,Fresh ideas drive innovation.,3622b2d39b,1,0,0,1,1,0,0.9999998317188675,0.9999992578442893,0.9999995447815373
Fresh linens feel wonderful.,Fresh linens feel wonderful.,96e3f7597a,0,1,0,1,0,0,0.999998367176215,0.9999929586409844,0.9999956629049431
Fresh produce tastes best.,Fresh produce tastes best.,ef64114253,0,1,0,0,0,0,0.9999898921823566,0.9999540854305082,0.9999719886461624
Fresh recipes bring culinary joy.,Fresh recipes bring culinary joy.,b74d2b790c,0,1,0,1,1,0,0.9999932940402552,0.9999142220847086,0.999953757280899
Fresh sheets promise restful sleep.,Fresh sheets promise restful sleep.,3ffb0e5456,0,1,0,1,1,0,0.9990959114821759,0.9963591169857186,0.9977265758455182
Freshly baked pies are delicious.,Freshly baked pies are delicious.,b6ee86d152,0,1,0,1,0,0,0.9999988990009836,0.9999989201698767,0.9999989095854301
Freshly brewed coffee sparks joy.,Freshly brewed coffee sparks joy.,f0b18a0931,0,1,0,1,1,0,0.9991628366482104,0.9980495240326506,0.9986060251910457
Freshly laundered clothes feel soft.,Freshly laundered clothes feel soft.,4e0ec80946,0,1,0,1,0,0,0.9999988006197891,0.9999831087469211,0.9999909546525755
Freshly mowed lawn smells wonderful.,Freshly mowed lawn smells wonderful.,1fe176479d,0,1,0,0,0,0,0.9877081793027377,0.9508916125114942,0.9691250813532649
Function charts map inputs to outputs.,Function charts map inputs to outputs.,8027ab2155,0,1,0,0,0,0,0.8817081927802357,0.9963591157851478,0.9372822388902056
GPS technology allows precise navigation.,GPS technology allows precise navigation.,3e657a85c9,0,1,0,0,0,0,0.999999934376464,0.9999998123534327,0.9999998733649464
Galileo improved the telescope.,Galileo improved the telescope.,5f120bc9ed,0,1,0,0,0,0,0.9999988580323022,0.9999883907971655,0.9999936244010383
Galileo's telescope brought cosmic revelations.,Galileo's telescope brought cosmic revelations.,64efb1e1e1,0,1,0,0,1,0,0.999978261051641,0.9999897549106496,0.9999840079646315
Gamification enhances learning experiences.,Gamification enhances learning experiences.,2c7136a596,0,1,0,1,1,0,0.9990968397189766,0.9999684432292965,0.9995325464681453
Gandhi led India to independence.,Gandhi led India to independence.,3e8f442f21,1,1,0,1,1,0,0.999999816066153,0.9999966738909682,0.9999982449773264
Gardening is a rewarding hobby.,Gardening is a rewarding hobby.,0ca2c439bf,0,1,0,1,1,0,0.999980549813164,0.9999920210961891,0.9999862854382275
Gardens can be therapeutic.,Gardens can be therapeutic.,be03393857,0,1,0,1,1,0,0.999999904722919,0.9999994899242572,0.9999996973235666
Gathering spaces fortify community.,Gathering spaces fortify community.,e2fdc2b517,1,1,0,1,1,0,0.9999998015548345,0.9999987763921382,0.999999288973355
Gelato is a traditional Italian frozen dessert.,Gelato is a traditional Italian frozen dessert.,9496b288b4,0,1,0,0,0,0,0.9999999288641914,0.9999995498592966,0.999999739361726
General relativity explains gravitation.,General relativity explains gravitation.,9c67f165eb,0,1,0,0,0,0,0.8355003305701199,0.9999331954978731,0.9140265397604761
Genetic edits can prevent hereditary diseases.,Genetic edits can prevent hereditary diseases.,dde55dc0f8,0,1,0,0,0,0,0.9985089512518041,0.9999594804776611,0.9992339526587596
Genetic research advances medical treatments.,Genetic research advances medical treatments.,f4228e9c4b,0,1,0,1,0,0,0.9999989756750158,0.9999992578442503,0.999999116759623
Genetics explores inheritance and variation.,Genetics explores inheritance and variation.,f4253c7623,0,1,0,0,0,0,0.9999993773823873,0.9999982196629725,0.9999987985225124
Genome editing offers medical breakthroughs.,Genome editing offers medical breakthroughs.,ab50be1759,0,1,0,1,0,0,0.9999987390910278,0.9999970647187727,0.9999979019045498
Gentle waves kissed the shore.,Gentle waves kissed the shore.,67ba2e9b18,0,1,0,0,1,0,0.9921318492580719,0.9659830348187528,0.9789701398340267
Geometry studies shapes and their properties.,Geometry studies shapes and their properties.,b9d1e654fe,0,1,0,0,0,0,0.9999999867766317,0.9999999390800762,0.9999999629283537
Glaciers are melting.,Glaciers are melting.,24a34ed60d,0,1,0,0,0,0,0.9999998877438313,0.9999998710325327,0.9999998793881819
Glass is brittle and can shatter.,Glass is brittle and can shatter.,a5940c307e,0,1,0,0,0,0,0.9999999971113499,0.9999999630501976,0.9999999800807736
Gnosticism emphasizes mystical knowledge.,Gnosticism emphasizes mystical knowledge.,7dadd6443e,1,1,0,1,1,0,0.8354888452520168,0.9999783112521172,0.9140408768458298
Good deeds spread goodwill.,Good deeds spread goodwill.,f8358908a4,1,0,0,1,1,1,0.9999998920367399,0.9999994899243003,0.9999996909804999
Good manners open doors.,Good manners open doors.,9431c28920,1,0,0,1,1,1,0.9999999422114533,0.9999996906231119,0.9999998164172746
Good posture supports spinal health.,Good posture supports spinal health.,acb6b0cfa9,0,1,0,0,0,0,0.9999999758136255,0.9999997873685886,0.9999998815911026
Good reasoning avoids bias.,Good reasoning avoids bias.,6147ce9fe5,1,1,0,1,1,0,0.9999394893152092,0.9996607852190428,0.9998001275556884
Google is a popular search engine.,Google is a popular search engine.,f6d95b3755,0,1,0,1,0,0,0.9999999907625498,0.9999999630501989,0.9999999769063742
Gothic architecture is characterized by pointed arches.,Gothic architecture is characterized by pointed arches.,57e1b75764,0,1,0,0,0,0,0.9996669106919687,0.9999909587295425,0.9998289215826184
Gothic cathedrals were architecturally innovative.,Gothic cathedrals were architecturally innovative.,c44236fc04,0,1,0,1,0,0,0.9999716060147131,0.9998585800617776,0.9999150914412516
Grammar rules structure languages.,Grammar rules structure languages.,67fd819b20,0,1,0,1,0,0,0.9999839772835835,0.9999783112907086,0.999981144283133
Grand Canyon receives millions of visitors.,Grand Canyon receives millions of visitors.,fe4cfac7f1,0,1,0,0,0,0,0.9999959046918544,0.9999831087629828,0.9999895067069514
Graph theory studies networks and connections.,Graph theory studies networks and connections.,ca46854515,0,1,0,0,0,0,0.9999797596939282,0.9998751963359913,0.9999274766481736
Graphic novels tell extended stories.,Graphic novels tell extended stories.,5ff2d30825,0,1,0,1,0,0,0.9999947773592662,0.9999331954924678,0.9999639859518091
Graphs visually represent data.,Graphs visually represent data.,0f6c7d1cff,0,1,0,0,0,0,0.9999999374674934,0.9999996494300359,0.9999997934487542
Grasping at straws means making a desperate attempt.,Grasping at straws means making a desperate attempt.,31376a2dc8,1,0,0,1,1,1,0.9999995410354174,0.999999549859313,0.9999995454473652
Grass feels soft underfoot.,Grass feels soft underfoot.,e67c0d7e89,0,1,0,0,0,0,0.9999991705349963,0.9999990470523078,0.9999991087936502
Grass grows in fields.,Grass grows in fields.,62645c94de,0,1,0,0,0,0,0.9999996899023419,0.9999998538609804,0.9999997718816578
Grass is green due to chlorophyll.,Grass is green due to chlorophyll.,ab43e811d5,0,1,0,0,0,0,0.9999827778925486,0.9999831087473945,0.9999829433199579
Gratitude boosts well-being.,Gratitude boosts well-being.,0c99ff0efb,1,1,0,1,1,1,0.9999999830208565,0.9999999217772719,0.9999999523990637
Gratitude fosters joy.,Gratitude fosters joy.,01b9fbfeb5,1,0,0,1,1,1,0.99999999999996,0.9999989201699833,0.9999994600848259
Gravity keeps us grounded.,Gravity keeps us grounded.,080559349b,0,0,0,0,0,0,0.99999990451848,0.999999726975862,0.9999998157471671
Gravity pulls objects toward Earth.,Gravity pulls objects toward Earth.,fe9f63e0d5,0,1,0,0,0,0,0.9999995721729025,0.9999982196610887,0.9999988959167669
Great minds think alike.,Great minds think alike.,90bb745ab7,1,0,0,1,1,0,0.8176329598795933,0.4034146806654849,0.5743214599955336
Greece’s Acropolis is historically significant.,Greece’s Acropolis is historically significant.,9c31d89560,0,1,0,0,0,0,0.9999999758584469,0.9999998344024748,0.9999999051304583
Green technology combats climate change.,Green technology combats climate change.,ed9de0c7a5,0,1,0,0,0,0,0.9999976534966282,0.9999962310289291,0.9999969422625257
Greeting warmly fosters connections.,Greeting warmly fosters connections.,63b338d743,1,1,0,1,1,1,0.9999999903728165,0.9999999390800789,0.9999999647264474
Greetings establish rapport in conversations.,Greetings establish rapport in conversations.,7037f7ae85,1,1,0,1,1,1,0.9999980375156244,0.9999998710325287,0.9999989542736564
Greta Thunberg is a prominent climate activist.,Greta Thunberg is a prominent climate activist.,62b2ba77ec,0,1,0,1,1,0,0.9999999807601094,0.9999998344024805,0.9999999075812923
Guardian angels are believed to provide protection.,Guardian angels are believed to provide protection.,0ceb66f976,0,0,0,1,0,0,0.9999899584187314,0.9998184169852851,0.9999041840233478
Handheld devices facilitate communication.,Handheld devices facilitate communication.,a2b05ea2e7,0,1,0,1,0,0,0.9999999837106129,0.9999998995600253,0.9999999416353182
Handshakes are common social gestures.,Handshakes are common social gestures.,51e8ce6fbc,1,1,0,1,0,0,0.9999996674500541,0.9999995498601595,0.9999996086551051
Handwriting improves memory.,Handwriting improves memory.,1dd22eff6e,0,1,0,1,0,0,0.9955488681429712,0.9993663557636663,0.9974557856570304
Handwritten letters feel personal.,Handwritten letters feel personal.,9b62166734,0,1,0,1,1,0,0.9999997002792418,0.9999986134708704,0.9999991568749085
Handwritten notes show thoughtfulness.,Handwritten notes show thoughtfulness.,7d06500b82,1,1,0,1,1,0,0.9999983980596006,0.9999984288566973,0.9999984134581488
Happiness depends on ourselves.,Happiness depends on ourselves.,3263e89251,1,1,0,1,1,0,0.9938851310862374,0.985677260675906,0.9897726877599706
Happy hearts attract happiness.,Happy hearts attract happiness.,a477c95f65,1,1,0,1,1,0,0.998333830187655,0.9699207132207072,0.9840247256080361
Haste makes waste.,Haste makes waste.,e4698b7534,0,1,0,0,0,0,0.9999999682791669,0.9999990470532062,0.9999995076660805
Hawaii consists of volcanic islands.,Hawaii consists of volcanic islands.,bf3f6bef94,0,1,0,0,0,0,0.9999999786556053,0.9999998123534394,0.9999998955045188
He who hesitates is lost.,He who hesitates is lost.,83f2ec9cc1,1,0,0,1,1,1,0.8616056272193405,0.25992665721743236,0.4732380696043508
He's as cold as ice.,He's as cold as ice.,8bf4f53b09,0,1,0,1,1,0,0.7469650215523447,0.21355234121855715,0.39939470347123185
Health is wealth.,Health is wealth.,ebd4a0a70b,1,1,0,1,1,0,0.9999995000207733,0.9999909587386068,0.9999952293705708
Healthy diets sustain energy.,Healthy diets sustain energy.,d9225c9170,0,1,0,0,0,0,0.9999999498251225,0.9999994899242612,0.9999997198746655
Healthy minds reside in fit bodies.,Healthy minds reside in fit bodies.,e777b3631c,0,1,0,1,1,0,0.9645997901149684,0.8562654339145105,0.9088198159352816
Heating food kills harmful bacteria.,Heating food kills harmful bacteria.,ea7a24ffeb,0,1,0,0,0,0,0.9999999015474954,0.9999982196610252,0.9999990606039068
Helping others brings joy.,Helping others brings joy.,3ea05db079,1,1,0,1,1,0,0.9999999473022219,0.9999992578443195,0.9999996025732113
High-definition displays enhance viewing experiences.,High-definition displays enhance viewing experiences.,c4a07e6352,0,1,0,1,0,0,0.9999999239062748,0.9999977140001092,0.9999988189525816
Hiking reconnects us with nature.,Hiking reconnects us with nature.,875110aadb,0,1,0,1,1,0,0.9999999690016329,0.9999997873685766,0.9999998781851006
Hiking up hills builds endurance.,Hiking up hills builds endurance.,e4aa18630c,0,1,0,0,0,0,0.9999998975910415,0.9999998995600329,0.9999998985755372
Hindsight is 20/20.,Hindsight is 20/20.,1cba100048,1,0,0,1,1,0,0.9999998389065676,0.9999986134708917,0.999999226188542
Hinduism embraces a pantheon of gods.,Hinduism embraces a pantheon of gods.,2da5a11574,1,1,0,1,1,0,0.9999963486739687,0.9999977140001922,0.9999970313368474
His energy was contagious.,His energy was contagious.,64bb968913,1,1,0,1,1,0,0.999969865813811,0.9998751963415767,0.9999225299573185
His heart raced faster than a speeding train.,His heart raced faster than a speeding train.,e2e5d5b2d3,0,1,0,1,1,0,0.7570160067091571,0.8988656662889397,0.8248973858984031
Historical records maintain collective memory.,Historical records maintain collective memory.,67c7ba28f3,1,0,0,1,1,0,0.9999904387541535,0.9999410449524453,0.9999657415483205
History repeats itself.,History repeats itself.,a00d339321,1,1,0,1,1,0,0.9999488278176968,0.9997942420256202,0.9998715319341788
Hobbies enrich life.,Hobbies enrich life.,80b6dfec6f,1,1,0,1,1,0,0.9999999830208588,0.9999999217772679,0.9999999523990629
Holding hands shows affection.,Holding hands shows affection.,2935b9af57,1,1,0,1,1,0,0.9999999911023325,0.9999999217772773,0.9999999564398042
