statement_number,statement,behavior,everyday,figure_of_speech,judgment,opinion,reasoning,category,elicitation
951,if alex flies across the room they'll be careful not to break anything,0,1,0,1,1,1,Human activities,situation response
952,if alex gets a parking ticket in the park,0,0,0,0,0,1,General reference,situation response
953,if alex gets a parking ticket vehicle registration will be held pending,1,1,0,1,0,1,General reference,situation response
954,if alex gets a second job they start slacking off at both their first and second job assuming either of the job will not fire them,1,1,0,1,0,1,General reference,situation response
955,if alex gets back home he thinks he'll never leave again,1,1,0,1,0,1,People and self,situation response
956,if alex gets back home they will be safe in the house,1,1,0,1,1,1,Human activities,situation response
957,if alex gets back home they will stay outside,0,1,0,0,0,1,Geography and places,situation response
958,if alex gets bad news Morgan will speak sarcastically about alex 's bad news,1,0,0,1,1,1,General reference,situation response
959,if alex gets bad news they will feel upset,1,1,0,1,1,1,General reference,situation response
960,if alex gets coffee and drinks it right away his tongue might be burned,0,1,0,0,0,1,Human activities,situation response
961,if alex gets coffee and lets it cool down or puts milk in it before drinking it it won't burn his tongue,0,1,0,1,0,1,Religion and belief systems,situation response
962,if alex gets coffee he will be able to work faster,0,1,0,1,1,1,Human activities,situation response
963,if alex gets coffee he will pour the coffee on the grass,1,1,1,0,1,1,Geography and places,situation response
964,if alex gets full so they continue to eat more,1,1,0,1,0,1,Human activities,situation response
965,if alex gets full they would not feel good,0,0,0,0,0,1,Health and fitness,situation response
966,if alex gets on an empty train they believe its empty because no one wants to ride with them,0,1,0,1,0,1,General reference,situation response
967,if alex gets some friends alex will engage in activities that are both fun and healthy e g tennis,1,1,0,1,1,1,People and self,situation response
968,if alex gets some friends alex will suggest an activity that is costly and not productive,1,1,0,1,1,1,General reference,situation response
969,if alex gets the food he won't even know to eat the food even if he is hungry,0,0,0,0,1,1,Health and fitness,situation response
970,if alex gets the letter alex would not read it,0,0,0,0,0,0,General reference,situation response
971,if alex gets the letter they will throw it in the trash without looking at it,0,1,0,0,0,1,Philosophy and thinking,situation response
972,if alex gives sam a box then Morgan would assume that they are getting a box as well,0,1,0,1,1,1,Culture and the arts,situation response
973,if alex gives sam a box they would throw the box away,0,0,0,1,0,1,People and self,situation response
974,if alex gives sam a box what can i do with this,1,1,0,1,0,1,Culture and the arts,situation response
975,if alex gives sam a trial it will be meaningful,1,1,0,0,1,1,Human activities,situation response
976,if alex gives sam a trial it will be unrealistic,1,0,0,1,1,1,Human activities,situation response
977,if alex gives sam a trial they would allow sam to give their point of view of the situation,0,1,0,0,0,1,Culture and the arts,situation response
978,if alex gives sam flowers they will give sam poppies and sam is allergic to poppies,1,0,0,1,0,1,General reference,situation response
979,if alex gives sam help sam should be angry about it,0,0,0,1,1,0,People and self,situation response
980,if alex gives sam help they will get angry and storm off,0,0,1,0,1,1,Health and fitness,situation response
981,if alex gives sam instruction it will likely make a lot of sense,0,1,0,1,0,1,Health and fitness,situation response
982,if alex gives sam instruction it will most likely be wrong,1,1,0,1,1,1,Culture and the arts,situation response
983,if alex gives sam one dollar than sam only has one dollar,0,1,0,0,0,1,Mathematics and logic,situation response
984,if alex gives sam one extra debit card and their pin,1,1,0,0,1,0,History and events,situation response
985,if alex gives sam one money sam will have no idea what to do with the money,1,1,0,0,0,1,Health and fitness,situation response
986,if alex gives sam one sam will assume there are more,1,1,1,1,1,1,People and self,situation response
987,if alex gives sam one they tell them by when they want the favor returned,1,1,0,1,1,1,People and self,situation response
988,if alex gives sam the slip alex will go to a bad part of town and get into trouble,1,1,0,1,1,1,People and self,situation response
989,if alex goes car shopping he she will buy the first car without shopping around and not negotiate a better price,1,1,0,1,1,1,Culture and the arts,situation response
990,if alex goes down in flames he is likely to succeed,0,1,1,0,0,1,General reference,situation response
991,if alex goes down in flames it is because they flew too close to the sun,0,0,1,0,1,0,People and self,situation response
992,if alex goes sam's separate ways they will not meet,1,1,1,1,1,1,People and self,situation response
993,if alex goes sam's separate ways they would lead happy productive lives,0,1,0,1,0,1,Health and fitness,situation response
994,if alex goes sam's separate ways they would leave sam alone,1,1,0,1,0,1,Human activities,situation response
995,if alex goes sam's separate ways they would still cause trouble for one another,1,1,0,1,1,1,People and self,situation response
996,if alex goes to the zoo with sam's family sam's family ignore alex,0,1,0,1,0,0,Health and fitness,situation response
997,if alex goes to the zoo with sam's family the family would force and push alex into the lion exhibit hoping that the lions and alex would become friends,1,1,0,1,0,1,Human activities,situation response
998,if alex goes to the zoo with sam's family they ignore Morgan,1,1,1,1,1,1,Human activities,situation response
999,if alex grabs sam's things there might be a face off,1,1,0,1,1,1,People and self,situation response
1000,if alex grabs sam's things they might decide to talk things out,1,1,0,1,0,0,Human activities,situation response
1001,if alex grows a set of onions and then stuffs them in the garbage disposal,0,1,1,0,0,1,Natural and physical sciences,situation response
1002,if alex grows older alex is now wrinkley,0,0,0,0,1,0,Health and fitness,situation response
1003,if alex grows older then they didn't have any birthdays,1,1,0,1,0,1,General reference,situation response
1004,if alex hangs a picture they would try using superglue instead of tacs,0,1,0,1,0,1,People and self,situation response
1005,if alex hangs around sam alex must really intensely hate sam,1,1,0,1,1,1,People and self,situation response
1006,if alex hangs around sam alex would say something that offends sam,1,1,0,1,0,0,People and self,situation response
1007,if alex has a great boss alex will say good things about their boss,1,1,0,1,1,1,Human activities,situation response
1008,if alex has a great boss they will not work diligently,1,1,0,0,0,1,People and self,situation response
1009,if alex has a great boss they would not like them,1,1,0,1,1,1,People and self,situation response
1010,if alex has a high fever all he needs to do is to wait for the fever to subside,0,1,0,0,0,1,Health and fitness,situation response
1011,if alex has a high fever get into a hot bath,0,1,0,1,0,1,Natural and physical sciences,situation response
1012,if alex has a high fever he is likely to be healthy,0,1,0,0,0,1,People and self,situation response
1013,if alex has a high fever then Morgan would take them outside to exercise on a hot day,0,0,0,0,0,1,Religion and belief systems,situation response
1014,if alex has a high fever they will take lots of tylenol and try to sleep it off,0,1,0,1,0,1,Human activities,situation response
1015,if alex has an english test tomorrow they would go on an all night video gaming binge,1,1,0,1,1,1,Human activities,situation response
1016,if alex has an english test tomorrow they would review the material for the exam,0,0,0,1,0,1,Culture and the arts,situation response
1017,if alex has never cooked before they may burn their food,0,0,0,1,1,0,Culture and the arts,situation response
1018,if alex has never cooked before they may look up recipes online,1,1,0,1,1,1,People and self,situation response
1019,if alex has sam by the balls he would have no chance since he's weaker and smaller,0,0,1,1,0,1,Geography and places,situation response
1020,if alex hears a strange noise they will not inspect,0,1,0,1,1,1,People and self,situation response
1021,if alex immediately tried he would ask for a return of favor,1,1,0,1,0,1,People and self,situation response
1022,if alex immediately tried he would move on,1,1,0,1,1,1,People and self,situation response
1023,if alex immediately tried to drive a car after putting the key in the ignition and turning it on,0,1,1,1,0,1,Culture and the arts,situation response
1024,if alex invites people over they will forget to give them directions,0,0,0,0,0,1,Health and fitness,situation response
1025,if alex is a country music star alex will resort to drugs and alcohol until it becomes a serious addiction problem,1,1,0,1,1,1,Health and fitness,situation response
1026,if alex is a country music star alex will save the newly obtained money remain humble and enjoy it while it lasts,0,0,1,0,1,1,History and events,situation response
1027,if alex is a country music star they will say to a reporter that they hate all their fans,0,0,0,1,0,1,Culture and the arts,situation response
1028,if alex is a country music star they would wear cowboy hats and boots on stage,0,0,0,1,1,1,Human activities,situation response
1029,if alex is a football player they would not wear a helmet,1,0,0,1,1,1,Health and fitness,situation response
1030,if alex is a freshman in college they would drop out,1,1,0,1,0,1,People and self,situation response
1031,if alex is a little boy person two does not know he is,0,0,0,0,0,1,Geography and places,situation response
1032,if alex is able to escape he will get away,0,0,0,1,0,0,People and self,situation response
1033,if alex is able to escape they will be caught again,1,1,0,1,1,1,Human activities,situation response
1034,if alex is able to escape they will escape quietly,0,0,0,0,0,1,People and self,situation response
1035,if alex is able to escape they will tell the guards,0,0,0,0,0,1,Culture and the arts,situation response
1036,if alex is driving alex's car on the highway alex is driving under the influence of alcohol,0,1,0,1,0,0,Human activities,situation response
1037,if alex is driving alex's car on the highway alex leaves the door ajar,0,1,0,0,0,1,Culture and the arts,situation response
1038,if alex is driving alex's car on the highway they will not look before changing lanes,0,0,0,0,0,1,Religion and belief systems,situation response
1039,if alex is driving alex's car on the highway they're going 30 mph over the speed limit,1,1,0,1,0,1,Human activities,situation response
1040,if alex is feeling a little cold they would drink ice water,0,1,0,0,1,1,Health and fitness,situation response
1041,if alex is feeling a little hot they must have sat on the kitchen stove with no pants on,0,1,0,1,0,0,Human activities,situation response
1042,if alex is feeling a little hot they will open the window,1,1,0,1,1,0,Human activities,situation response
1043,if alex is getting a raise alex will hold a party,0,1,0,0,1,1,General reference,situation response
1044,if alex is getting a raise and the other will think of improvement,1,1,0,1,1,1,People and self,situation response
1045,if alex is getting a raise he or she might think which way to tread,1,1,0,1,1,1,People and self,situation response
1046,if alex is in a lot of trouble alex will feel relieved,1,1,0,1,1,1,People and self,situation response
1047,if alex is in a lot of trouble he cry and give up,0,0,0,0,1,0,Philosophy and thinking,situation response
1048,if alex is on a road trip he she is careful to start the trip with a well maintained vehicle,0,1,0,1,0,1,General reference,situation response
1049,if alex is on the baseball team they would bet against themselves,0,0,0,1,0,1,Human activities,situation response
1050,if alex is sam's last day they will be very sad,1,1,0,1,1,1,Culture and the arts,situation response
1051,if alex is terrible at math they will get a tutor,1,1,0,1,0,0,Human activities,situation response
1052,if alex is the best gift sam had ever gotten then they have no concept of what a present truly is,1,1,0,0,1,1,Human activities,situation response
1053,if alex is the best gift sam had ever gotten to waste the time,0,1,0,0,0,1,Geography and places,situation response
1054,if alex is wearing a swimsuit they wear it to the grocery store during grocery day shopping,1,1,0,1,1,1,People and self,situation response
1055,if alex is wearing a swimsuit wear a modest one piece,0,0,1,0,0,1,Health and fitness,situation response
1056,if alex joins sam's band they would make the top 10 charts within days,0,0,0,0,1,1,Culture and the arts,situation response
1057,if alex joins the chess club they will know how to play the game and look forward to competing,0,0,0,1,1,1,Human activities,situation response
1058,if alex joins the chess club they will look for someone to play cards with,0,0,0,1,0,1,General reference,situation response
1059,if alex justifies alex's actions he would keep mute and be proud,0,1,0,0,0,1,Culture and the arts,situation response
1060,if alex justifies alex's actions he would report himself after that,0,0,0,1,0,1,Culture and the arts,situation response
1061,if alex keeps sam under control he would ask him for favors,0,0,0,0,0,1,Religion and belief systems,situation response
1062,if alex keeps sam under control sam would be in good hands,1,1,1,0,1,1,General reference,situation response
1063,if alex keeps sam under control sam would be put in danger,1,1,0,1,0,1,People and self,situation response
1064,if alex keeps up sam's spirits by making fun of sam,0,0,0,1,0,1,Culture and the arts,situation response
1065,if alex keeps up sam's spirits he use actions,1,1,0,1,0,1,People and self,situation response
1066,if alex keeps up sam's spirits he use words,1,1,0,0,1,0,People and self,situation response
1067,if alex kills sam's brother and makes sure to keep quiet and hide all the evidence,0,1,0,0,1,1,General reference,situation response
1068,if alex kills sam's brother he would brag about it in the street,1,0,0,1,1,1,General reference,situation response
1069,if alex kills sam's brother he would try to cover his tracks,1,1,0,1,1,0,Human activities,situation response
1070,if alex lands a job he would brag about it,1,0,1,1,1,1,Culture and the arts,situation response
1071,if alex lands a job he would focus on it,1,1,0,1,0,1,People and self,situation response
1072,if alex lands a job they will arrive early the first day of work to make a good impression,1,1,0,1,0,1,Human activities,situation response
1073,if alex lands a job they will come into work late the first day,1,1,0,1,1,1,Human activities,situation response
1074,if alex laughs alex's head off alex is sad,0,0,1,0,1,0,Culture and the arts,situation response
1075,if alex laughs alex's head off the would walk away,0,0,1,1,0,0,General reference,situation response
1076,if alex leaves the building they will be cautious and look both ways before crossing the street,0,0,0,1,0,0,Culture and the arts,situation response
1077,if alex leaves the living room he will leave the lights on,1,1,0,1,1,1,Health and fitness,situation response
1078,if alex leaves the living room he will turn off the lights,0,1,1,0,0,0,Human activities,situation response
1079,if alex leaves the living room he would get confused on what's next,0,0,0,0,0,1,General reference,situation response
1080,if alex leaves the living room they would turn off the lights and the television,1,1,0,1,1,1,Human activities,situation response
1081,if alex leaves town he will be arrested because he forgot to check in with his probation officer,0,1,0,1,1,1,General reference,situation response
1082,if alex leaves town he will have fun visiting friends because he let his probation officer know his location,0,0,0,0,0,1,Culture and the arts,situation response
1083,if alex leaves town they get lost in the country,1,1,0,1,0,1,People and self,situation response
1084,if alex leaves town they have a pre planned route,1,1,0,1,0,1,People and self,situation response
1085,if alex looks into sam's face and asks them to leave sam will leave,0,1,0,0,0,1,Culture and the arts,situation response
1086,if alex looks into sam's face and tells them the sun revolves around the earth sam will think they are unintelligent,0,1,0,1,0,0,Natural and physical sciences,situation response
1087,if alex loses all alex's money alex lies and runs away from the situation,1,1,0,1,1,1,People and self,situation response
1088,if alex loses all alex's money he she is wise to be honest and admit it,1,1,0,1,1,1,People and self,situation response
1089,if alex loses all alex's money they will get a loan to gamble more,0,0,0,0,1,1,Culture and the arts,situation response
1090,if alex loses all alex's money they will leave the casino and go home,0,0,0,0,0,1,Culture and the arts,situation response
1091,if alex loses sam's footing he would be proud,1,0,0,0,1,1,General reference,situation response
1092,if alex loses sam's footing he would offer a solution to recovering it or to pay for it,0,1,0,0,0,1,Culture and the arts,situation response
1093,if alex loses sam's footing the first person would be concerned about the second person,0,1,0,1,0,1,Culture and the arts,situation response
1094,if alex loses sam's footing then the first person would laugh hysterically at the second person,0,0,1,1,0,1,Culture and the arts,situation response
1095,if alex loves sam's performance they will clap in the middle of the performance,1,1,0,1,0,1,People and self,situation response
1096,if alex mails sam in bulk then sam will die because there are no airholes in the box,0,0,0,0,0,1,Human activities,situation response
1097,if alex mails sam in bulk they will decided mailing a person is probably not a sensable idea,0,1,1,0,1,1,General reference,situation response
1098,if alex maintains sam equilibrium alex would then try to wreak havoc in sam's life in order to create a state of emotional turmoil for sam,1,1,0,0,1,1,General reference,situation response
1099,if alex maintains sam equilibrium than alex is holding up their equalibrium in their hands,0,1,0,1,0,1,Culture and the arts,situation response
1100,if alex maintains sam equilibrium they will try to knock him down,0,1,0,0,0,1,General reference,situation response
1101,if alex makes a friend and says what can we do,0,0,0,1,0,1,Culture and the arts,situation response
1102,if alex makes a friend then he can trip them every time he sees them,1,0,0,1,0,1,People and self,situation response
1103,if alex makes a friend then hits them in the face,0,1,0,1,0,1,People and self,situation response
1104,if alex makes a impression on sam he always assumes that sam is impressed,1,1,0,1,1,1,Philosophy and thinking,situation response
1105,if alex makes a impression on sam he wonders what it is,0,0,0,0,0,0,Philosophy and thinking,situation response
1106,if alex makes a impression on sam it will be bad because alex ran and hugged sam who spilled the coffee they held all over them,1,1,0,1,1,1,General reference,situation response
1107,if alex makes alex's hair tidy neat and clean,1,1,1,1,0,0,Health and fitness,situation response
1108,if alex makes it right they cannot make it left,0,0,1,0,0,1,General reference,situation response
1109,if alex makes no sense they would be confused about what they are saying,0,0,0,0,1,1,General reference,situation response
1110,if alex makes sam money alex won't even feel that it would be polite for sam to thank alex,1,0,0,1,1,0,Human activities,situation response
1111,if alex makes sam money they will turn themselves in to the fbi,0,0,0,0,0,1,History and events,situation response
1112,if alex makes sam money they would not give them the money,1,1,0,0,0,1,General reference,situation response
1113,if alex makes sam's dream come true dream come true's mission is to promote and enrich the lives,0,0,1,0,0,1,General reference,situation response
1114,if alex makes sam's dream come true something you have wanted very much for a long time that has now happened,1,1,0,1,1,1,General reference,situation response
1115,if alex makes sandwiches he doesn't ask Morgan about it,0,0,0,0,0,1,Philosophy and thinking,situation response
1116,if alex makes sandwiches than alex knows how to make every type of sandwich in the world,1,1,0,1,1,1,People and self,situation response
1117,if alex makes sandwiches they will starve,1,1,0,1,0,1,General reference,situation response
1118,if alex makes sure it was perfect and reassures everyone that the plans are going well,1,1,1,0,0,1,Geography and places,situation response
1119,if alex makes sure it was perfect and then ruins the last bit of the plans,1,1,0,1,1,1,People and self,situation response
1120,if alex makes sure it was perfect it wasn't perfect,1,1,0,1,1,1,Culture and the arts,situation response
1121,if alex makes sure it was perfect then it's perfect,1,1,0,0,1,1,Philosophy and thinking,situation response
1122,if alex marries sam's sister alex will become closer to sam,0,0,0,1,1,1,General reference,situation response
1123,if alex marries sam's sister alex will never talk to sam,1,1,1,1,1,1,Culture and the arts,situation response
1124,if alex marries sam's sister he will make plans to save and buy a house for a future family,0,0,0,1,0,1,General reference,situation response
1125,if alex marries sam's sister it would be a disaster because she's already married,1,1,0,1,1,1,People and self,situation response
1126,if alex marries sam's sister they would both have a rich a fulfilled life,1,1,0,1,1,0,People and self,situation response
1127,if alex meets sam for the time for fight,0,0,0,0,1,0,Human activities,situation response
1128,if alex meets sam's friend he start conversation with rage,1,1,0,1,0,0,Human activities,situation response
1129,if alex meets sam's friend they would ask who they were and where they came from,1,1,0,1,1,1,People and self,situation response
1130,if alex moves into a new house alex sleeps outside the lawn,1,1,0,1,1,0,General reference,situation response
1131,if alex moves into a new house they will not live in an apartment,1,1,0,0,1,1,Culture and the arts,situation response
1132,if alex moves into a new house they would break all the windows,1,1,0,1,1,1,People and self,situation response
1133,if alex moves into a new house they would throw a massive party,1,1,0,1,0,1,People and self,situation response
1134,if alex never found out he would be very suspicious,0,0,0,0,0,1,General reference,situation response
1135,if alex never found out then they don't need to know,1,1,0,1,0,1,Human activities,situation response
1136,if alex offers sam a ride they should follow the map and not their own sense of direction,0,1,0,1,1,1,Human activities,situation response
1137,if alex offers sam a ride they would make sure they'd both safely arrive at the destination,0,1,1,0,0,1,General reference,situation response
1138,if alex passes sam examination he will thank sam,1,1,0,1,1,1,Human activities,situation response
1139,if alex pays sam debts he will feel relieved and relaxed,0,1,0,0,1,1,General reference,situation response
1140,if alex pays sam debts he would request for another loan,1,1,0,1,1,1,People and self,situation response
1141,if alex performs alex's work it is done early and well prepared,0,1,0,1,0,1,General reference,situation response
1142,if alex performs alex's work might not think of which to hand it,1,0,0,0,1,1,Culture and the arts,situation response
1143,if alex performs alex's work might think of which to hand it,0,0,0,0,1,1,History and events,situation response
1144,if alex performs alex's work then they would complete the work satisfactorily,0,0,0,0,0,0,General reference,situation response
1145,if alex performs alex's work then they would make obvious mistakes,0,1,0,1,0,1,Human activities,situation response
1146,if alex performs alex's work they would do it incorrectly,0,0,0,1,0,1,Health and fitness,situation response
1147,if alex performs sam analysis they would forget to to make sure sam had everything they needed to take the test accurately,0,1,0,0,0,1,Culture and the arts,situation response
1148,if alex performs sam analysis they would make sure sam has all the tools they need and no distractions so they can be analyzed,1,1,0,1,1,1,People and self,situation response
1149,if alex plays rugby he's gonna get hit,1,1,0,1,1,1,Health and fitness,situation response
1150,if alex plays rugby he's got to be quick,1,1,0,1,1,1,People and self,situation response
1151,if alex pounds sand alex eats sand,0,0,0,0,0,1,Religion and belief systems,situation response
1152,if alex pounds sand found this helpful,0,0,0,1,1,0,Culture and the arts,situation response
1153,if alex pounds sand into the toilet bowl and breaks it,0,1,0,0,0,1,General reference,situation response
1154,if alex pounds sand they would expect the sand to quickly turn to glass,0,0,0,1,0,1,Culture and the arts,situation response
1155,if alex prevents sam attack alex is invincible,0,1,0,0,1,1,Culture and the arts,situation response
1156,if alex pulls sam away sam don't ask help from Morgan,0,0,0,0,0,1,Culture and the arts,situation response
1157,if alex punches sam's lights out he will call an ambulance,1,1,1,1,1,1,People and self,situation response
1158,if alex punches sam's lights out he will punch sam again,0,0,1,0,1,1,Geography and places,situation response
1159,if alex pushes sam aside alex does not acknowledge the rude behavior,0,1,0,1,1,0,Technology and applied sciences,situation response
1160,if alex pushes sam aside alex walks away without apologizing,1,1,0,1,1,1,People and self,situation response
1161,if alex puts sam's arms around sam then Morgan would assume that alex is playing a prank on sam,1,1,0,1,1,1,Human activities,situation response
1162,if alex puts sam's arms around sam to fight,0,0,0,0,1,1,General reference,situation response
1163,if alex raises alex's arm then Morgan would attack alex immediately,1,1,0,1,1,1,Human activities,situation response
1164,if alex reaches alex's climax then that is the end of that,1,1,0,1,0,1,People and self,situation response
1165,if alex redoes alex's bedroom they will pick colors that don't blend well and buy foolish things for decorations,1,1,1,1,1,0,General reference,situation response
1166,if alex refuses to pay others must chip in,1,1,0,1,1,1,Society and social sciences,situation response
1167,if alex rents sam apartment he will leave the windows open and rain will get in the apartment and ruin the floor,1,1,0,1,0,1,People and self,situation response
1168,if alex rents sam apartment he will shut the windows when it's raining so water does not ruin the floor,0,0,0,1,0,1,General reference,situation response
1169,if alex rents sam apartment they would have to replace most of the fixtures and floors,0,1,0,1,0,1,General reference,situation response
1170,if alex returns the car he or might accept the car,0,0,0,0,1,1,People and self,situation response
1171,if alex rides tall in the saddle alex is wise to bring others up as well,0,0,1,1,1,1,General reference,situation response
1172,if alex rides tall in the saddle he she is weak to belittle others,1,0,0,1,1,1,People and self,situation response
1173,if alex rides tall in the saddle then they will avoid any objects in their path that might hit the upper portion of their body,0,1,0,1,0,1,General reference,situation response
1174,if alex rides tall in the saddle then they would ride into a low limb and hit themselves in the head,0,1,0,0,0,1,Geography and places,situation response
1175,if alex runs around like a chicken with its head cut off,1,1,1,1,1,0,Human activities,situation response
1176,if alex runs as fast as sam could alex would still lose the race,0,1,0,1,1,0,Human activities,situation response
1177,if alex runs as fast as sam could then alex could never beat sam in a race,0,1,0,1,0,0,People and self,situation response
1178,if alex runs as fast as sam could then they will have achieved the one and only goal they have in life,1,0,0,1,1,1,General reference,situation response
1179,if alex says something like that no one will care,1,1,0,0,0,1,Human activities,situation response
1180,if alex says something like that when they are jumping over a cliff,0,1,0,1,1,1,People and self,situation response
1181,if alex scratches the ticket he use his hand,0,1,0,0,0,0,Human activities,situation response
1182,if alex scratches the ticket they check to see if they won any money,0,0,0,0,0,1,Culture and the arts,situation response
1183,if alex sees a bat he will poke the bat,0,0,0,1,1,1,General reference,situation response
1184,if alex sees a bat he will take a picture,0,0,0,0,0,1,General reference,situation response
1185,if alex sees a sign they would do opposite of what the sign says,0,0,0,1,1,0,General reference,situation response
1186,if alex sees a sign they would do what the sign says,0,0,0,1,0,1,General reference,situation response
1187,if alex sells things on ebay alex would get scammed,1,1,0,0,1,0,People and self,situation response
1188,if alex sells things on ebay i do not know what ebay is,0,0,0,0,0,1,History and events,situation response
1189,if alex sells things on ebay they will be broke,1,1,1,0,0,0,Culture and the arts,situation response
1190,if alex sends sam to the showers Morgan will sarcastically laugh at sam,0,0,0,0,0,1,Health and fitness,situation response
1191,if alex sends sam to the showers they would laugh that they will be naked,1,1,0,1,1,0,People and self,situation response
1192,if alex sends sam to the showers yeah,0,1,1,0,0,1,General reference,situation response
1193,if alex shares alex's knowledge alex wouldn't give credit,1,0,0,1,1,1,Culture and the arts,situation response
1194,if alex shares alex's knowledge the knowledge would not be correct,1,1,0,0,1,1,Human activities,situation response
1195,if alex shows sam respect alex would put themselves down,1,1,0,1,1,1,People and self,situation response
1196,if alex shows sam respect sam don't care about it,1,1,0,1,1,0,People and self,situation response
1197,if alex shows sam respect sam will be disrespectful back,1,0,1,1,1,0,Society and social sciences,situation response
1198,if alex slips on a banana peel then Morgan would laugh at alex's fall,0,0,0,1,1,1,Human activities,situation response
1199,if alex speaks with a forked tongue many people will praise him,1,1,1,1,0,1,Culture and the arts,situation response
1200,if alex speaks with a forked tongue Morgan will foolishly get into an argument with alex,1,0,1,1,1,1,Human activities,situation response
1201,if alex speaks with a forked tongue they would say exactly what they mean,0,1,0,0,0,1,General reference,situation response
1202,if alex spends most of sam's time sam will be frustrated,1,0,0,1,0,1,People and self,situation response
1203,if alex spends most of sam's time they will enjoy their time,1,1,0,0,1,1,People and self,situation response
1204,if alex spends weeks they will give up,1,1,0,1,1,1,General reference,situation response
1205,if alex spreads sam's legs he might apologize if the other person feels uncomfortable,1,1,0,1,1,1,People and self,situation response
1206,if alex starts alex's new job he will be unfriendly to his new boss,1,1,0,1,1,1,People and self,situation response
1207,if alex starts alex's new job he will try to get along with this coworkers,1,1,0,1,1,1,General reference,situation response
1208,if alex starts alex's new job they will earn a living,1,1,0,1,1,0,People and self,situation response
1209,if alex starts alex's new job they will insult the manager,0,1,0,1,0,0,Mathematics and logic,situation response
1210,if alex starts alex's new job they would do what was expected of them from that job,0,1,0,1,0,1,General reference,situation response
1211,if alex starts alex's new job they wouldn't do the things that were expected of that job,1,0,1,1,1,1,Culture and the arts,situation response
1212,if alex starts exercising he will forget to eat and his blood sugar will get low,0,0,0,0,0,1,Health and fitness,situation response
1213,if alex starts exercising he will make sure to eat protein first so his blood sugar doesn't get low,0,1,0,1,0,1,Health and fitness,situation response
1214,if alex starts exercising they will attain higher physical fitness,0,0,0,1,0,1,Natural and physical sciences,situation response
1215,if alex starts exercising they will gain weight,0,0,0,1,0,1,Natural and physical sciences,situation response
1216,if alex starts exercising they will hurt themself,0,1,0,0,0,1,Health and fitness,situation response
1217,if alex starts exercising they will lose weight,0,1,0,0,0,1,Health and fitness,situation response
1218,if alex starts exercising they will make sure their shoes are tied first,1,1,0,0,0,0,General reference,situation response
1219,if alex stays home today he will spend the day relaxing,1,1,0,1,1,0,Human activities,situation response
1220,if alex stops in front of sam it is because they are a time traveler looking to prevent sam's death,1,1,0,0,1,1,History and events,situation response
1221,if alex stops in front of sam it is possible that sam could run into alex from behind,0,0,0,0,0,1,Culture and the arts,situation response
1222,if alex stretches sam legs they would loosen up large muscle groups,1,1,0,1,0,0,Health and fitness,situation response
1223,if alex stretches sam legs they would pull a muscle by stretching too far,0,0,0,1,0,0,Mathematics and logic,situation response
1224,if alex surprises sam with tickets then the second person would be happy and excited about the date,0,0,0,0,0,1,Health and fitness,situation response
1225,if alex surprises sam with tickets then the second person would notice that the tickets are to separate shows,1,1,1,0,1,0,Human activities,situation response
1226,if alex surprises sam with tickets they will expect sam to be excited,1,1,0,1,1,1,Human activities,situation response
1227,if alex swings the bat they are playing football,0,1,0,1,0,1,Culture and the arts,situation response
1228,if alex swings the bat they have not checked if it is safe to take a swing,0,0,0,1,0,1,General reference,situation response
1229,if alex swings the bat they swing when others are close by,0,0,0,1,0,1,Human activities,situation response
1230,if alex takes a breather it is necessary to regroup,0,0,0,0,1,0,Health and fitness,situation response
1231,if alex takes a breather it'll become a snoozer,1,1,1,1,1,1,General reference,situation response
1232,if alex takes a breather might think of which to hand it,0,0,0,0,1,1,Health and fitness,situation response
1233,if alex takes a breather the other might not,0,0,0,1,0,1,History and events,situation response
1234,if alex takes a breather they will be well rested,0,0,0,0,0,1,General reference,situation response
1235,if alex takes a breather they will run to work,0,1,0,1,0,1,Human activities,situation response
1236,if alex takes advantage of sam it is because they love and respect them,1,0,0,1,1,1,Culture and the arts,situation response
1237,if alex takes advantage of sam Morgan will side with alex in undermining sam,1,1,0,1,1,1,People and self,situation response
1238,if alex takes advantage of sam then sam will feel happy,1,0,1,1,1,1,Human activities,situation response
1239,if alex takes alex's pick he would assume his pick is always right,0,0,0,0,1,1,General reference,situation response
1240,if alex takes alex's pick he'll consider other options carefully too,0,0,0,0,0,1,General reference,situation response
1241,if alex takes sam a long time alex would assume that sam has been abducted by aliens and will never return,0,0,0,0,0,0,People and self,situation response
1242,if alex takes sam a long time they will make a chris,1,1,0,1,1,1,Culture and the arts,situation response
1243,if alex takes sam word for it alex believes sam is right about everything,1,1,0,1,1,1,People and self,situation response
1244,if alex takes sam word for it alex might experience negative feelings about sam if it later turns out to be untrue,1,1,0,1,1,1,People and self,situation response
1245,if alex takes sam word for it alex pretends they trust sam,1,0,0,1,1,1,History and events,situation response
1246,if alex takes sam word for it alex would get lied to,0,0,0,0,1,1,Culture and the arts,situation response
1247,if alex takes sam word for it for answer,0,1,1,1,1,1,Health and fitness,situation response
1248,if alex takes sam word for it it is because the story seemed far fetched,1,1,0,1,0,1,People and self,situation response
1249,if alex takes sam's allowance he would keep it safely for sam,1,1,0,1,1,1,General reference,situation response
1250,if alex takes sam's allowance he would squander it,1,1,0,1,1,1,People and self,situation response
1251,if alex takes sam's allowance they would tell sam they stole it,1,0,0,1,0,1,People and self,situation response
