statement,drop,length,statement_r,hash,behavior,everyday,figure_of_speech,judgment,opinion,reasoning,awareness,consensus,commonsensicality
Morning prayers bring peace.,,28,Morning prayers bring peace.,0e294c679b,1,1,0,1,1,0,0.87802269,0.956535108,0.916438502
Museums educate and inspire.,,28,Museums educate and inspire.,f568c2f9ca,1,1,0,1,1,0,0.99999983,0.999999727,0.999999778
Newton’s laws define motion.,,28,Newton’s laws define motion.,00537e3d55,0,1,0,0,0,0,0.996556202,0.997496235,0.997026108
Nodding signifies agreement.,,28,Nodding signifies agreement.,a2e537047d,1,1,0,1,0,1,0.999994427,0.999975423,0.999984925
Offering comfort eases pain.,,28,Offering comfort eases pain.,3398edd98d,1,1,0,1,1,1,0.999999698,0.99999892,0.999999309
Organizing files saves time.,,28,Organizing files saves time.,eb07ff912d,0,1,0,1,0,0,0.999999797,0.999999159,0.999999478
Planes fly faster than cars.,,28,Planes fly faster than cars.,e2a6b96b71,0,1,0,0,0,0,0.999999996,0.999999922,0.999999959
Puzzles stimulate the brain.,,28,Puzzles stimulate the brain.,f14d54886b,0,1,0,1,0,0,0.999999858,0.99999892,0.999999389
Rain forests are biodiverse.,,28,Rain forests are biodiverse.,f2c9f24601,0,1,0,0,0,0,0.999999924,0.999999422,0.999999673
Scotland has iconic castles.,,28,Scotland has iconic castles.,6309d92bc7,0,1,0,1,0,0,0.999996047,0.999983109,0.999989578
Sharing meals creates bonds.,,28,Sharing meals creates bonds.,f149b4408f,1,1,0,1,1,0,0.999999837,0.999999258,0.999999547
Social norms guide behavior.,,28,Social norms guide behavior.,7734ec8770,1,1,0,1,1,0,0.999999979,0.999999871,0.999999925
Solar energy is sustainable.,,28,Solar energy is sustainable.,de82c0c8c1,0,1,0,0,0,0,0.999999902,0.999997065,0.999998484
Teamwork makes tasks easier.,,28,Teamwork makes tasks easier.,9f025ce87d,1,1,0,1,1,0,0.999999987,0.999999603,0.999999795
Trees absorb carbon dioxide.,,28,Trees absorb carbon dioxide.,55a9d507cf,0,1,0,0,0,0,0.999999869,0.999999946,0.999999908
Typing clean prevents germs.,,28,Typing clean prevents germs.,40eb687617,0,1,0,1,0,0,0.994349504,0.969920749,0.982059171
Warm tea fosters relaxation.,,28,Warm tea fosters relaxation.,f1b603e0dc,0,1,0,0,0,0,0.999995409,0.999978311,0.99998686
Addition combines quantities.,,29,Addition combines quantities.,e3894a2037,0,1,0,0,0,0,0.999999528,0.999997714,0.999998621
Albania's coast is untouched.,,29,Albania's coast is untouched.,8a06ae4089,0,1,0,0,0,0,0.999552207,0.998049527,0.998800584
Always return borrowed items.,,29,Always return borrowed items.,5959809f87,1,1,0,1,0,1,0.999999831,0.999999159,0.999999495
Art reflects cultural values.,,29,Art reflects cultural values.,d09c05a903,1,1,0,1,1,0,0.999999622,0.999999939,0.999999781
Collaboration drives success.,,29,Collaboration drives success.,d4c4ed329f,1,1,0,1,1,0,0.999999406,0.99999741,0.999998408
Communication builds bridges.,,29,Communication builds bridges.,198839b42a,0,1,0,1,1,0,0.999999889,0.999999047,0.999999468
Consistency builds character.,,29,Consistency builds character.,c32ad66520,1,1,0,1,1,0,0.999961484,0.999735809,0.99984864
Creating art relieves stress.,,29,Creating art relieves stress.,ed3200105e,1,1,0,1,1,0,0.999995521,0.999998776,0.999997149
Creative hobbies uplift mood.,,29,Creative hobbies uplift mood.,438247470b,1,1,0,1,1,0,0.999999771,0.99999892,0.999999346
Crisp air characterizes fall.,,29,Crisp air characterizes fall.,c7be49970b,0,1,0,0,0,0,0.99999918,0.999993786,0.999996483
Data analysis reveals trends.,,29,Data analysis reveals trends.,89905f9fb8,0,1,0,1,0,0,0.999999143,0.999999159,0.999999151
Dietary fiber aids digestion.,,29,Dietary fiber aids digestion.,2b060949b6,0,1,0,0,0,0,0.99999993,0.999999649,0.99999979
Digital tools simplify tasks.,,29,Digital tools simplify tasks.,02e13875df,0,1,0,1,0,0,0.999999793,0.999999047,0.99999942
Dress warmly in cold weather.,,29,Dress warmly in cold weather.,7e23641c8e,0,1,0,1,0,0,0.999999994,0.999999967,0.999999981
Eating slowly aids digestion.,,29,Eating slowly aids digestion.,37ddade6ca,0,1,0,0,0,0,1,0.999954085,0.999977042
Evening walks help to unwind.,,29,Evening walks help to unwind.,a99f489e44,0,1,0,1,1,0,0.999999916,0.99999892,0.999999418
Exorcisms expel evil spirits.,,29,Exorcisms expel evil spirits.,9c130c98a8,0,1,0,1,0,0,0.999976093,0.99988986,0.999932976
Fitness boosts mental health.,,29,Fitness boosts mental health.,c4d05b86b9,0,1,0,1,0,0,0.999999978,0.999999691,0.999999834
Flu vaccines prevent the flu.,,29,Flu vaccines prevent the flu.,018b802687,0,1,0,0,0,0,0.598578057,0.03434869,0.143388884
Fresh ideas drive innovation.,,29,Fresh ideas drive innovation.,3622b2d39b,1,0,0,1,1,0,0.999999832,0.999999258,0.999999545
Healthy diets sustain energy.,,29,Healthy diets sustain energy.,d9225c9170,0,1,0,0,0,0,0.99999995,0.99999949,0.99999972
Iceland is known for geysers.,,29,Iceland is known for geysers.,3e88dc3af8,0,1,0,0,0,0,0.999999916,0.99999892,0.999999418
Laws reflect societal values.,,29,Laws reflect societal values.,d0d8370d3e,1,1,0,1,1,0,0.999998165,0.999988391,0.999993278
Lebanon's cedars are ancient.,,29,Lebanon's cedars are ancient.,670c3b69fb,0,1,0,0,0,0,0.999929928,0.999941045,0.999935486
Lending an ear shows empathy.,,29,Lending an ear shows empathy.,8f67715fa7,1,1,0,1,1,1,0.999999135,0.999999691,0.999999413
Most mammals give live birth.,,29,Most mammals give live birth.,467ecfb930,0,1,0,0,0,0,0.999983914,0.999794242,0.999889074
Offer compliments generously.,,29,Offer compliments generously.,2beb890b2b,1,1,0,1,1,1,0.99958245,0.998278515,0.99893027
Paper is made from tree pulp.,,29,Paper is made from tree pulp.,375fddc052,0,1,0,0,0,0,0.999999022,0.999998429,0.999998725
Pi (π) is approximately 3.14.,,29,Pi (π) is approximately 3.14.,5fb8f1a325,0,1,0,0,0,0,0.999999781,0.999998613,0.999999197
Plant roots absorb nutrients.,,29,Plant roots absorb nutrients.,81578272d1,0,1,0,0,0,0,0.999999929,0.99999955,0.999999739
Quality sleep enhances focus.,,29,Quality sleep enhances focus.,7d0c7f031a,0,1,0,1,0,0,0.999999993,0.999999967,0.99999998
Reading inspires imagination.,,29,Reading inspires imagination.,e91bd15f02,1,1,0,1,1,0,1,0.999999922,0.999999961
Scenic drives relax the mind.,,29,Scenic drives relax the mind.,11bf73c8ed,0,1,0,1,1,0,0.999999018,0.999997714,0.999998366
Soft fabrics feel comforting.,,29,Soft fabrics feel comforting.,42f7eb8b0d,0,1,0,1,1,0,0.999999328,0.999996231,0.999997779
Springtime brings new growth.,,29,Springtime brings new growth.,84ef5622f1,0,1,0,1,1,0,0.999999992,0.999999727,0.999999859
The Berlin Wall fell in 1989.,,29,The Berlin Wall fell in 1989.,5af663081b,0,1,0,1,0,0,1,0.999997983,0.999998991
The Nile flows through Egypt.,,29,The Nile flows through Egypt.,e639d6fb24,0,1,0,0,0,0,0.999999972,0.999999047,0.99999951
The human body has 206 bones.,,29,The human body has 206 bones.,633086462,0,1,0,0,0,0,0.999997261,0.999983109,0.999990185
The moon affects ocean tides.,,29,The moon affects ocean tides.,22b3a53b4d,0,1,0,0,0,0,0.999999875,0.999999759,0.999999817
The moon landing was in 1969.,,29,The moon landing was in 1969.,fd1bce8527,0,1,0,0,0,0,0.999999875,0.999999759,0.999999817
Use data to inform decisions.,,29,Use data to inform decisions.,57c7d01595,1,1,0,1,1,0,0.999999699,0.999999422,0.999999561
Walking is a stress reliever.,,29,Walking is a stress reliever.,0164eae2e8,0,1,0,1,0,0,0.999998653,0.99999741,0.999998031
A high salt diet is unhealthy.,,30,A high salt diet is unhealthy.,7c9e7442ce,0,1,0,0,0,0,0.999999592,0.999999345,0.999999469
A rising tide lifts all boats.,,30,A rising tide lifts all boats.,f7d16a69eb,0,0,0,1,1,0,0.982171619,0.929346834,0.955394204
AI enhances educational tools.,,30,AI enhances educational tools.,323a4d5acf,0,1,0,1,0,0,0.999998034,0.999992959,0.999995496
Apologizing restorers harmony.,,30,Apologizing restorers harmony.,e927806416,1,1,0,1,1,1,0.970948969,0.886187941,0.927600813
Compliments boost self-esteem.,,30,Compliments boost self-esteem.,ff40137b4e,1,1,0,1,1,1,0.999999824,0.999999258,0.999999541
Dance expresses human emotion.,,30,Dance expresses human emotion.,91c976dac7,1,1,0,1,1,0,0.999999818,0.999999886,0.999999852
Denmark's design is top-notch.,,30,Denmark's design is top-notch.,2693695b7a,1,1,0,1,1,0,0.595349613,3.6859404417555203e-14,1.48135857059431e-07
Early mornings are productive.,,30,Early mornings are productive.,26f6f1a379,0,1,0,1,1,0,0.997030747,0.987349546,0.992178338
Early risers get a head start.,,30,Early risers get a head start.,9f84d4dbf9,0,1,0,1,1,1,0.999999438,0.99998086,0.999990149
Encouragement inspires action.,,30,Encouragement inspires action.,a56dfe8ee6,1,0,0,1,1,1,0.999999937,0.999999854,0.999999896
Facts will eventually surface.,,30,Facts will eventually surface.,78c2a4ac03,1,1,0,1,1,0,0.999918639,0.99988986,0.99990425
Faith in times of uncertainty.,,30,Faith in times of uncertainty.,9d32b946d5,1,0,0,1,1,0,0.999844761,0.999902801,0.999873781
First impressions are lasting.,,30,First impressions are lasting.,77409080a3,1,0,0,1,1,0,0.999998559,0.999993786,0.999996173
Flexibility prevents injuries.,,30,Flexibility prevents injuries.,f8976a70ab,0,1,0,0,0,0,0.999973583,0.999875196,0.999924389
Flowers are a thoughtful gift.,,30,Flowers are a thoughtful gift.,18f08c3c77,1,1,0,1,1,0,0.999999873,0.999999422,0.999999647
France's Riviera is glamorous.,,30,France's Riviera is glamorous.,e957631b34,0,1,0,1,1,0,0.999999802,0.999998776,0.999999289
Holding hands shows affection.,,30,Holding hands shows affection.,2935b9af57,1,1,0,1,1,0,0.999999991,0.999999922,0.999999956
If p then q; p is therefore q.,,30,If p then q; p is therefore q.,6f89ca4487,1,1,0,1,0,1,0.997213814,0.999941045,0.998576498
Japan is located in East Asia.,,30,Japan is located in East Asia.,cca873e2f5,0,1,0,0,0,0,0.999999983,0.999999871,0.999999927
Keep a regular sleep schedule.,,30,Keep a regular sleep schedule.,4002800f46,0,1,0,1,0,0,0.999999969,0.999999603,0.999999786
Kind gestures create goodwill.,,30,Kind gestures create goodwill.,375a46ec6c,1,1,0,1,1,1,0.999999911,0.999999958,0.999999935
Leaves change color in autumn.,,30,Leaves change color in autumn.,cabb625f8a,0,1,0,0,0,0,0.999999988,0.999999649,0.999999819
Lifting weights builds muscle.,,30,Lifting weights builds muscle.,2407126fc2,0,1,0,0,0,0,0.999999987,0.999999946,0.999999967
Objective results build trust.,,30,Objective results build trust.,89f6dbeea5,1,1,0,1,1,0,0.999935708,0.999735809,0.999835754
Offering a smile bridges gaps.,,30,Offering a smile bridges gaps.,4af9916cbc,1,1,0,1,1,1,0.999998951,0.999993786,0.999996368
Offering praise boosts morale.,,30,Offering praise boosts morale.,c49132fc41,1,1,0,1,1,1,0.999999997,0.999999886,0.999999941
Rational methods solve issues.,,30,Rational methods solve issues.,c97610e99c,1,1,0,1,1,0,0.998247856,0.998278483,0.998263169
Reading before bed aids sleep.,,30,Reading before bed aids sleep.,85d5aefc82,0,1,0,1,0,0,0.999999793,0.999993786,0.99999679
Recycle to protect the planet.,,30,Recycle to protect the planet.,9ac9ed5d81,0,1,0,0,1,0,0.999999516,0.999999345,0.999999431
Sharing meals connects people.,,30,Sharing meals connects people.,1840550ca3,1,1,0,1,1,0,0.999999987,0.999999834,0.999999911
Sleep restores mental clarity.,,30,Sleep restores mental clarity.,363f6558e5,0,1,0,1,0,0,0.999999974,0.999999834,0.999999904
Slow and steady wins the race.,,30,Slow and steady wins the race.,fb0be48404,1,0,0,1,1,0,0.999999656,0.999993786,0.999996721
Small talk builds connections.,,30,Small talk builds connections.,c51cd294dd,1,1,0,1,1,1,0.999999745,0.999999939,0.999999842
Structured steps guide action.,,30,Structured steps guide action.,661a938075,1,1,0,1,1,0,0.999974942,0.999875196,0.999925068
Team sports build camaraderie.,,30,Team sports build camaraderie.,87b31d37f5,1,1,0,1,1,0,0.99999992,0.999999922,0.999999921
The Earth rotates on its axis.,,30,The Earth rotates on its axis.,a06c87e9b0,0,1,0,0,0,0,0.999999741,0.999998613,0.999999177
The Nile is the longest river.,,30,The Nile is the longest river.,e670b42ddb,0,1,0,0,0,0,0.94289402,0.538861373,0.712803736
Theosophy seeks divine wisdom.,,30,Theosophy seeks divine wisdom.,44f7477e9c,1,0,0,1,1,0,0.985418627,0.994706921,0.990051882
Thoughtful gestures show care.,,30,Thoughtful gestures show care.,861b87d0a8,1,1,0,1,1,1,0.999999787,0.9999999,0.999999843
Trees whisper soothing sounds.,,30,Trees whisper soothing sounds.,e28e05135f,0,1,0,1,1,0,0.985418625,0.937386469,0.961102537
USA spans multiple time zones.,,30,USA spans multiple time zones.,da39f2f866,0,1,0,0,0,0,0.99999998,0.999999911,0.999999946
Volunteering builds community.,,30,Volunteering builds community.,12e0e427d8,1,1,0,1,1,1,0.999999959,0.999999975,0.999999967
Water expands when it freezes.,,30,Water expands when it freezes.,2912f02e9a,0,1,0,0,0,0,0.999843117,0.999993786,0.999918449
Writing lists organizes tasks.,,30,Writing lists organizes tasks.,1af396434d,1,1,0,1,0,0,0.999999997,0.9999999,0.999999948
Yarn can be woven into fabric.,,30,Yarn can be woven into fabric.,c84c9cff67,0,1,0,1,0,0,0.999999678,0.9999999,0.999999789
Admitting fault shows maturity.,,31,Admitting fault shows maturity.,4ecdeb54d1,1,1,0,1,1,1,0.999998812,0.999995161,0.999996986
Alfred Nobel invented dynamite.,,31,Alfred Nobel invented dynamite.,b932531a57,0,1,0,0,0,0,0.99999895,0.999995161,0.999997055
Circles have a constant radius.,,31,Circles have a constant radius.,d93ffd2dfa,0,1,0,0,0,0,0.999941837,0.999735809,0.999838818
Clear arguments gain agreement.,,31,Clear arguments gain agreement.,17e8a0c644,1,1,0,1,1,1,0.994292363,0.976495509,0.985353758
Clear frameworks guide inquiry.,,31,Clear frameworks guide inquiry.,4a8e237a5f,1,0,0,1,1,0,0.988278008,0.997163339,0.992710733
Clear logic explains phenomena.,,31,Clear logic explains phenomena.,e3ed000eb8,1,1,0,1,1,0,0.992671099,0.965984337,0.979236812
Concrete weighs more than wood.,,31,Concrete weighs more than wood.,570d616882,0,1,0,0,0,0,0.999999111,0.999990959,0.999995035
Encouragement fuels motivation.,,31,Encouragement fuels motivation.,44a7d8164b,1,1,0,1,1,1,0.999999916,0.999999759,0.999999837
Epic poems narrate grand tales.,,31,Epic poems narrate grand tales.,977e39c271,1,1,0,1,1,0,0.999999183,0.999998429,0.999998806
Fact-checking ensures accuracy.,,31,Fact-checking ensures accuracy.,358d000232,0,1,0,1,0,0,0.999103689,0.996359119,0.99773046
Faith guides our moral compass.,,31,Faith guides our moral compass.,f7a42dcde8,1,0,0,1,1,0,0.706411358,0.169389904,0.345917551
Fish oils benefit brain health.,,31,Fish oils benefit brain health.,41e7bef903,0,1,0,0,0,0,0.999962189,0.999615628,0.999788893
Galileo improved the telescope.,,31,Galileo improved the telescope.,5f120bc9ed,0,1,0,0,0,0,0.999998858,0.999988391,0.999993624
Gardening is a rewarding hobby.,,31,Gardening is a rewarding hobby.,0ca2c439bf,0,1,0,1,1,0,0.99998055,0.999992021,0.999986285
Graphs visually represent data.,,31,Graphs visually represent data.,0f6c7d1cff,0,1,0,0,0,0,0.999999937,0.999999649,0.999999793
Happiness depends on ourselves.,,31,Happiness depends on ourselves.,3263e89251,1,1,0,1,1,0,0.993885131,0.985677261,0.989772688
Happy hearts attract happiness.,,31,Happy hearts attract happiness.,a477c95f65,1,1,0,1,1,0,0.99833383,0.969920713,0.984024726
Hydrating fruits aid hydration.,,31,Hydrating fruits aid hydration.,92327a7c63,0,1,0,0,0,0,0.999991389,0.99988986,0.999940624
Ice melts in warm temperatures.,,31,Ice melts in warm temperatures.,15f3350987,0,1,0,0,0,0,0.999999999,0.999999989,0.999999994
Kindness spreads like wildfire.,,31,Kindness spreads like wildfire.,d4020847ea,1,0,0,1,1,1,0.999834912,0.998955512,0.999395116
Laughter improves social bonds.,,31,Laughter improves social bonds.,447a89f276,1,1,0,1,1,0,0.99999997,0.999999834,0.999999902
Music enriches our daily lives.,,31,Music enriches our daily lives.,1117630675,1,1,0,1,1,0,0.999999985,0.99999955,0.999999767
Music evokes powerful memories.,,31,Music evokes powerful memories.,89f950e0e8,1,1,0,1,1,0,0.999999685,0.999998429,0.999999057
Niagara Falls is awe-inspiring.,,31,Niagara Falls is awe-inspiring.,498cf4ae50,0,1,0,0,1,0,0.999999229,0.999996674,0.999997951
Norms ensure societal cohesion.,,31,Norms ensure societal cohesion.,2f4b4ff23b,1,1,0,1,1,0,0.999997123,0.999959481,0.999978301
Oceans are vast and mysterious.,,31,Oceans are vast and mysterious.,d23b459ab6,0,1,0,0,1,0,0.999999822,0.999999047,0.999999435
Opera combines drama and music.,,31,Opera combines drama and music.,e321fe8bc2,1,1,0,1,1,0,0.999999549,0.999999787,0.999999668
Parallel lines never intersect.,,31,Parallel lines never intersect.,bdd3abdaeb,0,0,0,0,0,0,0.999996586,0.999994516,0.999995551
Patience enhances interactions.,,31,Patience enhances interactions.,485f36d346,1,1,0,1,1,1,0.999999838,0.999997065,0.999998451
Pets can provide companionship.,,31,Pets can provide companionship.,1e305fa672,1,1,0,1,1,0,0.999999988,0.999999953,0.99999997
Photons are particles of light.,,31,Photons are particles of light.,363fe194b5,0,1,0,0,0,0,0.999311776,0.999914222,0.999612954
Positivity attracts positivity.,,31,Positivity attracts positivity.,11fd1f3502,1,1,0,1,1,1,0.999998948,0.999992021,0.999995484
Prevention is better than cure.,,31,Prevention is better than cure.,b831f4e439,1,0,0,1,1,0,0.999999825,0.99999892,0.999999373
Prose captures rhythm and tone.,,31,Prose captures rhythm and tone.,30b96a690b,0,1,0,1,0,0,0.62706916,0.981646733,0.784576568
Protons have a positive charge.,,31,Protons have a positive charge.,a8b3d2961d,0,1,0,0,0,0,0.932462279,0.999964242,0.965623599
Read books to expand knowledge.,,31,Read books to expand knowledge.,447256e11f,1,1,0,1,1,0,0.999999987,0.999999871,0.999999929
Riding a bike is good exercise.,,31,Riding a bike is good exercise.,0cce53de5e,0,1,0,1,0,0,0.999999976,0.999999967,0.999999972
Running clears your mental fog.,,31,Running clears your mental fog.,0a69abe2fc,0,1,0,1,0,0,0.999982138,0.999818417,0.999900274
Scalars measure magnitude only.,,31,Scalars measure magnitude only.,7c8a172ec7,0,1,0,0,0,0,0.679318226,0.99944079,0.823977151
Shared experiences build bonds.,,31,Shared experiences build bonds.,1b775d587b,1,1,0,1,1,1,0.999999976,0.9999999,0.999999938
Smiling boosts immune function.,,31,Smiling boosts immune function.,e5d38570c3,0,1,0,1,0,0,0.947222972,0.797794231,0.869303757
Snowflakes are unique crystals.,,31,Snowflakes are unique crystals.,7701033bcd,0,1,0,0,0,0,0.999998117,0.999988391,0.999993254
"Spare the rod, spoil the child.",,31,"Spare the rod, spoil the child.",53aef8e8dd,1,0,0,1,1,1,0.999969304,0.99985858,0.999913941
Street art reflects urban life.,,31,Street art reflects urban life.,0f1f519f31,0,1,0,1,1,0,0.999999614,0.99999822,0.999998917
Too many cooks spoil the broth.,,31,Too many cooks spoil the broth.,0fa562e5e5,0,1,0,1,1,0,0.999999685,0.999998429,0.999999057
Trees provide shade and beauty.,,31,Trees provide shade and beauty.,3b75d68a11,0,1,0,0,0,0,0.999999995,0.999999993,0.999999994
Turn lights off to save energy.,,31,Turn lights off to save energy.,a612e081f2,0,1,0,1,0,0,0.999999971,0.999999988,0.999999979
Uplifting others builds morale.,,31,Uplifting others builds morale.,25e59bd6d7,1,0,0,1,1,1,0.999999942,0.999999834,0.999999888
Using timers helps manage time.,,31,Using timers helps manage time.,fc3a30bd80,0,1,0,1,0,0,0.999999858,0.99999892,0.999999389
Valid concerns merit attention.,,31,Valid concerns merit attention.,a1659f8424,1,1,0,1,1,0,0.999999914,0.999997065,0.999998489
Validation enhances self-worth.,,31,Validation enhances self-worth.,07219d58b6,1,0,0,1,1,1,0.999998716,0.99999892,0.999998818
Wearing a seatbelt saves lives.,,31,Wearing a seatbelt saves lives.,58c544c85e,0,1,0,1,0,0,0.99999998,0.999999978,0.999999979
A pat on the back boosts morale.,,32,A pat on the back boosts morale.,26daa60cab,1,1,0,1,1,1,0.999999658,0.999998776,0.999999217
A rolling stone gathers no moss.,,32,A rolling stone gathers no moss.,4f73d0d6a4,0,0,0,0,0,0,0.998953885,0.999506483,0.999230146
AI ethics address bias concerns.,,32,AI ethics address bias concerns.,a820cf67f6,1,1,0,1,1,0,0.999563586,0.999794242,0.999678907
Actions speak louder than words.,,32,Actions speak louder than words.,36524cf758,1,0,0,1,1,1,0.999999903,0.99999955,0.999999726
Advocacy supports social change.,,32,Advocacy supports social change.,be7cf94a72,1,1,0,1,1,0,0.999998892,0.99999822,0.999998556
Apologizing can restore harmony.,,32,Apologizing can restore harmony.,01223360d1,1,0,0,1,1,1,0.999999135,0.999999691,0.999999413
Bone density decreases with age.,,32,Bone density decreases with age.,e6e74b8e95,0,1,0,0,0,0,0.999999734,0.999997714,0.999998724
Breaking the ice eases tensions.,,32,Breaking the ice eases tensions.,f2d2d5d2e0,1,1,0,1,1,1,0.999999438,0.99999892,0.999999179
Collaboration boosts creativity.,,32,Collaboration boosts creativity.,feea7df5cc,1,1,0,1,1,0,0.999999864,0.999998613,0.999999239
Consistency ensures reliability.,,32,Consistency ensures reliability.,2a83ec0cf9,0,1,0,1,0,0,0.999994041,0.999975423,0.999984732
Counting numbers start from one.,,32,Counting numbers start from one.,519a447ac0,0,1,0,0,0,0,0.999774279,0.999078188,0.999426173
DNA carries genetic information.,,32,DNA carries genetic information.,601305e07d,0,1,0,0,0,0,0.999999825,0.99999892,0.999999373
Data encryption ensures privacy.,,32,Data encryption ensures privacy.,e3ba9f7462,0,1,0,0,0,0,0.98392355,0.85626555,0.9178779
Egypt is known for its pyramids.,,32,Egypt is known for its pyramids.,8c22f19cec,0,1,0,0,0,0,0.999999996,0.999999963,0.999999979
Encouragement builds confidence.,,32,Encouragement builds confidence.,7b0124de05,1,1,0,1,1,1,0.999999999,0.999999992,0.999999995
Eye contact shows attentiveness.,,32,Eye contact shows attentiveness.,725b2328e7,1,1,0,1,1,1,0.999999988,0.999999649,0.999999819
Facts help understand realities.,,32,Facts help understand realities.,26ce3d7670,1,0,0,1,1,0,0.999999883,0.999999727,0.999999805
Fertile soil is a farmer's gold.,,32,Fertile soil is a farmer's gold.,f0db52a621,0,0,0,0,0,0,0.999995851,0.999975423,0.999985637
"Finders keepers, losers weepers.",,32,"Finders keepers, losers weepers.",7617c41132,1,0,0,1,1,1,0.997757884,0.999078186,0.998417817
Firm handshakes show confidence.,,32,Firm handshakes show confidence.,8a8b67b2cb,1,1,0,1,1,1,0.999999839,0.999998613,0.999999226
Light travels faster than sound.,,32,Light travels faster than sound.,d5fc49d41d,0,1,0,0,0,0,0.999997538,0.999999603,0.99999857
Nature tends to restore balance.,,32,Nature tends to restore balance.,1dcd41ed3b,0,1,0,0,0,0,0.99996515,0.999735809,0.999850473
Nutrients fuel bodily functions.,,32,Nutrients fuel bodily functions.,c6c7d6775e,0,1,0,0,0,0,0.999999992,0.999999759,0.999999876
Organized data improves clarity.,,32,Organized data improves clarity.,e9f6c9a0f6,0,1,0,1,0,0,0.999999694,0.999998776,0.999999235
Organized reviews validate data.,,32,Organized reviews validate data.,feaf68efdf,0,1,0,1,1,1,0.787008207,0.961543033,0.869909339
Percentages express proportions.,,32,Percentages express proportions.,0f098143bf,0,1,0,0,0,0,0.99999748,0.999978311,0.999987896
Poetry uses metaphor and simile.,,32,Poetry uses metaphor and simile.,7507d4e0e0,1,1,0,1,1,0,0.999999892,0.999999691,0.999999791
Poland's old towns are charming.,,32,Poland's old towns are charming.,d8c6d9dc8c,1,1,0,1,1,0,0.881601125,0.996786117,0.937426137
Rain nourishes plants and crops.,,32,Rain nourishes plants and crops.,a0cebba212,0,1,0,0,0,0,0.999999973,0.999999993,0.999999983
Regular check-ups are important.,,32,Regular check-ups are important.,0f4f48a71f,0,1,0,1,0,0,0.999999971,0.999999871,0.999999921
Reliable friends are invaluable.,,32,Reliable friends are invaluable.,4800555d4a,1,1,0,1,1,0,0.999999933,0.999999691,0.999999812
Social equity promotes fairness.,,32,Social equity promotes fairness.,64f2fef1f3,1,0,0,1,1,0,0.999996483,0.999978311,0.999987397
Social interactions enrich life.,,32,Social interactions enrich life.,123dfa1ed7,1,1,0,1,1,0,0.999999892,0.99999955,0.999999721
Stargazing can be awe-inspiring.,,32,Stargazing can be awe-inspiring.,f50cfe17dc,0,1,0,1,1,0,0.999999969,0.999999911,0.99999994
Stonehenge is an ancient wonder.,,32,Stonehenge is an ancient wonder.,297e13ba21,0,0,0,0,0,0,0.999677657,0.998659051,0.999168224
Stretching improves flexibility.,,32,Stretching improves flexibility.,4c85acf009,0,1,0,0,0,0,0.999999972,0.999999787,0.99999988
Taking vitamins supports health.,,32,Taking vitamins supports health.,fbff28e6d0,0,1,0,0,0,0,0.999996338,0.999978311,0.999987325
Timely responses are respectful.,,32,Timely responses are respectful.,cdb1631f90,1,1,0,1,1,1,0.999999961,0.999999759,0.99999986
Water's chemical formula is H2O.,,32,Water's chemical formula is H2O.,9bdc7c2b4e,0,1,0,0,0,0,0.999999972,0.999999787,0.99999988
AI can improve medical diagnoses.,,33,AI can improve medical diagnoses.,2f0035e1ac,0,1,0,1,0,0,0.99999906,0.99999892,0.99999899
AI ethics ensure fair algorithms.,,33,AI ethics ensure fair algorithms.,64633d3f1c,1,1,0,1,1,0,0.9999855,0.999933196,0.999959347
Aristotle was a student of Plato.,,33,Aristotle was a student of Plato.,08ee57b64a,1,1,0,1,1,0,0.999891837,0.999997065,0.999944449
Art fosters emotional expression.,,33,Art fosters emotional expression.,3c21242b3c,1,1,0,1,1,0,0.999999989,0.999999931,0.99999996
Cleaning clutter clears the mind.,,33,Cleaning clutter clears the mind.,18e77ca79e,0,1,0,1,1,0,1,0.999993786,0.999996893
Cleanliness is next to godliness.,,33,Cleanliness is next to godliness.,ad8c886bef,1,1,0,1,1,0,0.969574062,0.910202361,0.939419289
Climbing stairs improves fitness.,,33,Climbing stairs improves fitness.,aeb5249c82,0,1,0,0,0,0,0.999999916,0.999999422,0.999999669
Creativity fuels problem-solving.,,33,Creativity fuels problem-solving.,2710ee2b2a,1,0,0,1,1,0,0.999999976,0.999999787,0.999999882
Critical analysis refines models.,,33,Critical analysis refines models.,0841d0712c,0,1,0,1,0,0,0.997220515,0.999914222,0.99856646
Daily routines provide structure.,,33,Daily routines provide structure.,4365327889,1,1,0,1,0,0,0.999999983,0.999999854,0.999999918
Evaluations appraise performance.,,33,Evaluations appraise performance.,c6583bb88f,1,1,0,1,1,0,0.999985293,0.999992021,0.999988657
Exercising daily revitalizes you.,,33,Exercising daily revitalizes you.,569b9cf993,0,1,0,0,0,0,0.999988721,0.999933196,0.999960958
Fields of lavender smell calming.,,33,Fields of lavender smell calming.,e2d04b5e41,0,1,0,0,0,0,0.999999433,0.999992021,0.999995727
Fresh recipes bring culinary joy.,,33,Fresh recipes bring culinary joy.,b74d2b790c,0,1,0,1,1,0,0.999993294,0.999914222,0.999953757
Freshly baked pies are delicious.,,33,Freshly baked pies are delicious.,b6ee86d152,0,1,0,1,0,0,0.999998899,0.99999892,0.99999891
Freshly brewed coffee sparks joy.,,33,Freshly brewed coffee sparks joy.,f0b18a0931,0,1,0,1,1,0,0.999162837,0.998049524,0.998606025
